lesson,raw_grad_norm,loss_reg,loss_cls,gate_logit_mean
0,3609.222478666242,654.6687931617101,70.6197197722892,-6.872237147942896
1,5464.61841114303,786.375350077947,110.52326161352296,-6.879360244932978
2,10896.728047284972,840.9510959386826,64.38744614118089,-6.876291491837979
3,9200.324643899008,828.5063411394755,33.62597916865101,-6.872965445474215
4,2411.7315248003833,619.0655545393626,82.96973614332576,-6.871346468807908
5,1145.5401433070365,486.52298243840534,40.65842070616782,-6.872459157857611
6,3202.2089434836803,626.4047869841257,84.12004948360845,-6.870157314957696
7,1237.8701599791627,475.9561492204666,42.93326878376926,-6.863885234725273
8,14565.523696435836,1055.225799838702,114.30997579234342,-6.850249299016703
9,1430.4259916518656,483.03650681177777,40.9100275891833,-6.861013174896778
10,6445.767206172987,634.0029275019964,68.11845568877955,-6.848006218242371
11,2235.4593072975367,543.4640567700068,100.25907474073271,-6.839900072820287
12,2096.2635153073384,550.4776507616043,101.39294764694448,-6.832373366384906
13,4695.170632515485,556.5641860167185,71.86031230973701,-6.823896346396069
14,1490.797633860832,478.1309743324916,61.177833010908216,-6.81800044991441
15,21657.30095382058,440.198743502299,67.51845327594008,-6.803462267456396
16,133465.3904241028,517.7788071235021,54.05603280228873,-6.813303787739583
17,90185.29708920416,409.9602225224177,64.32591483540212,-6.79354979783497
18,751587.9002088152,400.54942826430005,62.205265760887414,-6.791413194355276
19,285930669.2796335,380.34971843163174,54.11420558051517,-6.784065815183241
20,1754.6717394696846,418.8331572810809,80.77980642362188,-6.79287838851875
21,1176.2695556391782,407.1704459786415,88.41112466466923,-6.791760405706283
22,351089332.2791765,514.6722784042358,52.222565831926964,-6.78307686667392
23,5615175019.12392,345.8272085984548,37.174213192580886,-6.7836157390791145
24,203685.08943519616,359.98008131980896,68.01103748412181,-6.7686876123851585
25,2332.635927820704,368.30063647031784,90.84672310731064,-6.76176955796876
26,39012.19540422927,408.34172157446545,99.15504396458466,-6.751931217821447
27,15321763.047693308,320.45243724187213,43.536147578929864,-6.751984488303716
28,41855.919667299626,351.17365278800327,88.94411528948694,-6.744952221387019
29,246987508714698.88,338.16600036621094,32.4592295861803,-6.740722187657865
30,22593.065548627877,331.9837083419164,50.00426934255908,-6.744034542244976
31,739335.4140546188,329.06425937016803,55.98991475844135,-6.732610268429461
32,28651.675286222,342.18247477213544,71.09931139896314,-6.729034171591498
33,13882555.412842682,281.55154480536777,41.99535753733168,-6.722562017785865
34,4139644503.500515,302.4241050084432,64.42759066882233,-6.735486770493076
35,2741084.7274772334,387.2818162043889,63.3580356988435,-6.73280148639001
36,14334032.773232201,266.38220822811127,35.354969127724566,-6.719165418150331
37,46764039533.757614,281.51096793015796,56.91104100768765,-6.712469350593119
38,93794.41828876991,321.03378256162006,94.76451245819528,-6.711713253287524
39,3478097.7535374495,293.412440598011,56.39842117422571,-6.7147307415784185
40,590874.0109079332,306.71253192424774,81.04054582429428,-6.705369063458915
41,2734415.676477021,286.4431619445483,66.10438940332581,-6.70516925540598
42,9021299.13311997,391.9802830219269,99.23906671131651,-6.684291348410004
43,34781873251.915184,261.5652917424838,61.02208390086889,-6.692940870310075
44,18800990100.5876,301.3290357987086,70.52208096471925,-6.680945767296685
45,3361128724030987.5,324.9037480155627,87.27580641955137,-6.666816237336964
46,7.565630969627501e+18,270.2501691182454,84.33259510621428,-6.658197442957731
47,13659598643763.309,255.36768778165182,70.73605229829748,-6.6579642335535665
