lesson,raw_grad_norm,loss_reg,loss_cls,gate_logit_mean
0,3609.222478666242,654.6687931617101,70.6197197722892,-6.872237147942896
1,5467.9707164309475,786.375350077947,110.52326161352296,-6.879360244932978
2,10889.909181442947,840.991609176,64.36747544119135,-6.876276238240227
3,8654.494999628483,828.4824189345042,33.56558605733638,-6.872829081193018
4,2423.1840699144586,615.6516217390696,82.62938122311607,-6.8703422554021
5,1162.9044086524368,486.311576128006,39.795353576075286,-6.872709516451368
6,3407.04704509853,632.644808014234,82.7330043449377,-6.870050741165753
7,1172.4549621185033,472.4097861448924,42.11380364233628,-6.86305686338109
8,11101.44043398836,1079.8723135789235,112.20303284749389,-6.851899967871527
9,1302.6390636253836,479.6857231060664,39.84832359182959,-6.861271443673902
10,7064.593729851292,705.6235845486323,67.09538677645226,-6.848484081142497
11,1788.6064803525273,540.2335519393285,98.36626235954463,-6.842048787322519
12,1945.2499157011866,548.0259074767431,98.92044973000884,-6.833733723249872
13,4920.665258926741,567.0845106045405,70.6799193887661,-6.82600549593439
14,1306.1904699155966,482.1430331468582,59.635575735165425,-6.819535285053137
15,1014.553188499523,440.1495880683263,66.39964504710709,-6.810816655966703
16,2347.455337067295,478.14305740594864,51.492898523807526,-6.819248595529362
17,902.7708135777052,397.3242943088214,61.42725134159749,-6.798912699696653
18,858.7506602363618,395.3982752760251,60.732215049210936,-6.796429805407492
19,848.224649701835,361.5954500635465,51.52729681987936,-6.79137729354062
20,841.4126891996661,389.0038503607114,74.15211082731064,-6.794299927881578
21,752.7666813240484,363.69798709948856,80.51458236947656,-6.790704801836115
22,6505.405486804693,372.5393355687459,47.355960810712226,-6.77687772206683
23,881.4250793727796,305.48708043495816,33.08821113081649,-6.769958417766032
24,646.481885786389,313.2615570425987,58.263648273268096,-6.752714559125701
25,649.4076117465607,314.0414934357007,76.23497959366068,-6.746167459894059
26,813.0052802428853,349.66807544231415,85.65715551267688,-6.730764454692898
27,701.8305512031569,271.6156627337138,30.19490639306605,-6.728042457640419
28,584.2324923066842,288.2243862946828,73.97177509249498,-6.714237088085252
29,4288.324276445413,276.2986054420471,19.440558362596978,-6.710723259492521
30,1932.2894723449667,293.8270342151324,31.271976479173947,-6.706057045881923
31,480.4427954743865,252.00150972604752,39.36628206539899,-6.686461842903677
32,554.0080088751199,240.71292366584143,52.83650841905425,-6.6763690066879615
33,526.0385750074412,187.81931457916895,24.445513635408133,-6.677718354157061
34,477.4632663940455,212.67137777805328,44.8724258732982,-6.68272871105403
35,1237.297137626871,217.49109491705894,41.523733758522816,-6.671374901494573
36,408.1056623956428,157.12128709753355,18.48115048852439,-6.675214744400527
37,378.19406074689084,172.2759499847889,35.643272605569415,-6.664478983132457
38,442.42891542448206,215.08558772007623,68.71673036552966,-6.6383999042162865
39,361.55071992336724,168.5928083161513,33.62948990302781,-6.649242478076594
40,285.86470745252086,189.67669239640236,52.55826177199682,-6.630496983951076
41,304.9354518973685,159.27571723858514,36.42085846016804,-6.6347893488319345
42,319.06181240070975,213.5695633739233,64.04290107140939,-6.5865112612196315
43,296.1382926927582,123.5367219299078,28.01277949816237,-6.590790380929244
44,245.49285952058725,134.9587926119566,31.47084169493367,-6.57355679131226
45,3887.0324935854023,643.5935756613811,43.40196726036569,-6.544678613691425
46,215.66644397275292,119.05266864597797,36.760620838962495,-6.553232731515308
47,389.8073123708986,107.2700228492419,17.540199079240363,-6.557101973424613
48,246.43359568903136,114.37170589963596,27.17328432078163,-6.547829109470393
49,1192.6746136256897,191.4571404879292,32.4775756491969,-6.53666970564164
50,182.09945316482478,107.99133159468572,27.53783240976433,-6.525724090676333
51,302.9414479250111,113.58043123781681,41.390296284109354,-6.531410028260372
52,166.98031235467414,83.89701978613932,27.075018753608067,-6.525841654320386
53,172.34560516507761,107.36239672700565,42.424718397669494,-6.4904602458757195
54,290.9570812328259,71.47337898860376,19.911660383145016,-6.509165248235678
55,356.58286738993513,104.8553640494744,39.145729246238865,-6.496745355839994
56,167.52727964391465,83.66914848983288,35.804595238529146,-6.509988491175612
57,297.81943056518975,53.13829276710749,15.641002794417242,-6.565496737858519
58,167.5933210503962,41.595908258110285,11.689365436012546,-6.615571185101922
59,317.54725407220525,82.7202353614072,39.630591342536114,-6.611328001935399
60,362.8295223360744,142.7345127450923,55.68244162977984,-6.6031592247236475
61,160.7336363699014,64.23894094799955,27.596338047335546,-6.641847445267803
62,256.172155006113,102.31912307813764,50.53187409198532,-6.596804614407566
63,195.28607905859616,96.04469905669491,33.93127336073667,-6.5965624289217955
64,167.92783073154078,96.11800965294242,36.7279681134969,-6.585437560134922
65,146.1141932212784,32.52203776190678,15.941467336378992,-6.611001299315449
66,106.8290637693974,71.98099983483553,34.26861247885972,-6.57082021980762
67,78.36458890848982,50.19175051587323,25.98260973005866,-6.593442466600255
68,92.25152359791566,53.44955921918154,29.25966802223896,-6.600458753135698
