target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,cell@0.5,1,170430,1343,0.47737082595880015,0.005569017101699109,0.12456296207071249,15.266608101869874,0.004294895201288622,0.04375,0.9236092200173017,0.44206897350254787,0.027568647637963295,0.0031372851023880773,0.007880068063134425,0.3981291883842144,0.4758004467609829,4.548650614578616,8.923806730710284,704,gate-head
sb,cell@0.5,6,170430,1336,0.42384164677950353,0.005738500155078681,0.11071671196852188,14.003034945760023,0.0009544663516138605,0.0,0.34015393641944724,0.15163764890511044,0.007621869910508394,0.0013271577773866104,0.007838995482016078,0.16930202095808383,0.4416167664670659,1.3255697177178738,2.9013771497597127,746,gate-head
sb,cell@0.5,12,170430,1379,0.38772561964572727,0.006115876027654427,0.10639700864742298,13.03530637813601,0.0009319950093802447,0.0,0.25923310372501424,0.14790781596504105,0.007744704373180866,0.0012387783840873087,0.008091298480314498,0.1531000725163162,0.4263959390862944,1.1998261760746032,2.49968113481593,791,gate-head
sb,cell@0.5,18,170430,1547,0.3715865522670727,0.0070324921350236585,0.1287662318721173,14.086318776211337,0.0009124290258108623,0.0,0.22739853722183043,0.12303623217046611,0.007271306123584509,0.001214208179311154,0.009077040427154844,0.13376696832579185,0.39754363283775046,1.015826196757509,2.552642277731159,932,gate-head
sb,cell@0.5,24,170430,1590,0.3414999695324266,0.007381677083244689,0.12862930802308942,13.651832741037387,0.0012786004982568329,0.0,0.2283307959398239,0.12967075837537004,0.00852841418236494,0.0012043067535058383,0.009329343425453265,0.12908805031446544,0.3886792452830189,1.2728909545965155,2.366707128807179,972,gate-head
sb,cell@0.5,30,170430,1655,0.3134492008903899,0.007860731326798641,0.16533639180108242,16.914874434659083,0.0010911809527340722,0.0,0.193709346675358,0.08916834560871313,0.007913642562925816,0.0012087073871970898,0.009710731678695066,0.12447129909365559,0.3848942598187311,1.1324288015983897,1.8993328335333843,1018,gate-head
sb,cell@0.5,36,170430,1779,0.2886159697258381,0.008630404776962787,0.8717982868768176,83.4025303896992,0.001230235629442787,0.0,0.21663589689625704,0.01893435075412583,0.008755877614021301,0.001243545737252831,0.010438303115648653,0.11913293985385047,0.35975267003934797,1.0853270337809797,2.035253894980997,1139,gate-head
