target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,cell,1,170430,1343,0.4778833881292755,0.005530713721457022,0.12379608293024211,15.221478268309973,0.003880375779692525,0.04619565217391304,1.0283658080928604,0.4626280626988686,0.028595855459570885,0.0028578448629936045,0.007880068063134425,0.3626675353685778,0.4765450483991065,4.50960173579741,9.30058601172641,703,gate-head
sb,cell,6,170430,1336,0.4117944975264581,0.005758078043787208,0.11034295606321265,13.853129676470678,0.0017621485924308733,0.0,0.42579122477575765,0.23567134294125114,0.013209369033575058,0.0015332541219268908,0.007838995482016078,0.1955931886227545,0.43862275449101795,2.4025000127156577,4.089057193070955,750,gate-head
sb,cell,12,170430,1379,0.39437668812310556,0.006066651212636863,0.10572737892999487,12.846970744175733,0.0017932134966411955,0.0,0.43856867955145357,0.24195113263125312,0.014460503123700619,0.0015534236930117937,0.008091298480314498,0.1919869470630892,0.4213197969543147,2.3414004098502614,3.620051679789712,798,gate-head
sb,cell,18,170430,1547,0.3621885544392029,0.007037708905989884,0.12694274224301572,13.783966949437135,0.0018418354108934664,0.0,0.344076008170331,0.2092049064245944,0.013125951401889324,0.00152151909875022,0.009077040427154844,0.16762281835811246,0.3936651583710407,1.8540778307518218,4.070607613753802,938,gate-head
sb,cell,24,170430,1590,0.33501021030851297,0.007402078910830419,0.1276982531123524,13.45281544207894,0.0022129633086513984,0.0,0.33483372648140386,0.20031359007442542,0.014149120077490807,0.0015526902540632518,0.009329343425453265,0.1664308176100629,0.38427672955974845,2.0625000424964677,3.4478314476493144,979,gate-head
sb,cell,30,170430,1655,0.314150294618297,0.007825617746137029,0.16583288413533295,16.84462802202365,0.0022813750065806848,0.0,0.3616771151292306,0.16607837930025288,0.016502000391483307,0.0015226192571730329,0.009710731678695066,0.156797583081571,0.38368580060422963,2.262377472426377,3.0297244723856918,1020,gate-head
sb,cell,36,170430,1779,0.2827576098831409,0.008687315301372548,0.8714930158483559,83.2729763909986,0.0022883332529828326,0.0,0.34403475770670144,0.033918400436803525,0.016133910045027733,0.0016344686968256762,0.010438303115648653,0.15658375491849352,0.35132096683530073,1.963496571448688,3.6243000211715697,1154,gate-head
