target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,cell@0.75,1,170430,1343,0.47737082595880015,0.005569017101699109,0.12456296207071249,15.266608101869874,0.004294895201288622,0.04375,0.9236092200173017,0.44206897350254787,0.027568647637963295,0.0031372851023880773,0.007880068063134425,0.3981291883842144,0.4758004467609829,4.548650614578616,8.923806730710284,704,gate-head
sb,cell@0.75,6,170430,1336,0.42470996782806225,0.005696784341442347,0.10971476561574292,13.837311706799891,0.0012539715401280425,0.0,0.4060124299456469,0.19089428193023603,0.009953043423593044,0.0014998826497682333,0.007838995482016078,0.19133607784431136,0.4468562874251497,1.6109607610070174,3.446922099170972,739,gate-head
sb,cell@0.75,12,170430,1379,0.39191412162926015,0.0060544054960665,0.10563606578896707,12.89743190407861,0.0012895285842098186,0.0,0.34812589975906655,0.19655497923706694,0.010758218355476856,0.0014709118113008274,0.008091298480314498,0.18178934010152287,0.42857142857142855,1.5879600395254678,3.126480549826033,788,gate-head
sb,cell@0.75,18,170430,1547,0.37313577802651654,0.006975700124118692,0.12727375236394348,13.893299019212202,0.0011743753525553804,0.0,0.2951449443479271,0.15545605065622256,0.00895775482058525,0.0014588100686498855,0.009077040427154844,0.1607142857142857,0.39819004524886875,1.3183405061285427,3.273031690290996,931,gate-head
sb,cell@0.75,24,170430,1590,0.3408999461935483,0.007342525987059598,0.12831477735011035,13.599361242854137,0.00145524240488765,0.0,0.2830964779274007,0.1464166036142169,0.009241737425327301,0.0014320395470281053,0.009329343425453265,0.15349842767295596,0.38616352201257864,1.3432377274224505,2.7989617344416704,976,gate-head
sb,cell@0.75,30,170430,1655,0.31611566034880106,0.007785013892212465,0.1648888794379585,16.825788332488152,0.001512854583577975,0.0,0.2731652926690562,0.11946419670766936,0.010327729396522045,0.001472378689197911,0.009710731678695066,0.15162386706948638,0.3867069486404834,1.4250000013212851,2.5978515644557776,1015,gate-head
sb,cell@0.75,36,170430,1779,0.29156674517778153,0.008593681545426913,0.8716434166915284,83.35551705771242,0.0015696477404035574,0.0,0.26989203257194594,0.02369508564373438,0.011381862685084343,0.0014712785307750983,0.010438303115648653,0.14094997189432265,0.3608768971332209,1.4916447148369192,2.433800624167065,1137,gate-head
