target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,cell@0.1,1,170430,1343,0.47737082595880015,0.005569017101699109,0.12456296207071249,15.266608101869874,0.004294895201288622,0.04375,0.9236092200173017,0.44206897350254787,0.027568647637963295,0.0031372851023880773,0.007880068063134425,0.3981291883842144,0.4758004467609829,4.548650614578616,8.923806730710284,704,gate-head
sb,cell@0.1,6,170430,1336,0.41724844659447863,0.005908121050942333,0.11111116458181029,14.081195030128583,0.000734498086426131,0.0,0.2720872478239025,0.1302072912261435,0.006067261565476656,0.0010451505016722408,0.007838995482016078,0.13332709580838323,0.4356287425149701,1.1113229441389798,2.6186641063989233,754,gate-head
sb,cell@0.1,12,170430,1379,0.3756065455788029,0.006581778932815737,0.10861210887103562,13.389270981261811,0.0002777684351501171,0.0,0.11386132774243193,0.06069752344850199,0.0027687649708241224,0.0005159743002992431,0.008091298480314498,0.06376903553299493,0.41334300217548947,0.4047435145958687,1.189364049152324,809,gate-head
sb,cell@0.1,18,170430,1547,0.3642868236866414,0.00766093905595522,0.13252971342336975,14.586689961899575,0.00012689073314818257,0.0,0.05412226264424276,0.02962805636547109,0.0014403462409973145,0.0003483835005574136,0.009077040427154844,0.03838073691014868,0.3930187459599224,0.20440628486700332,0.7138157909441936,939,gate-head
sb,cell@0.1,24,170430,1590,0.3440858968783256,0.008035357848904785,0.13169340969392362,14.102048939583623,0.00013178156951812594,0.0,0.05201877745462407,0.026189322147465346,0.0012845001183450222,0.0002746728862289503,0.009329343425453265,0.02944182389937107,0.39308176100628933,0.18555699602309905,0.5919000092983245,965,gate-head
sb,cell@0.1,30,170430,1655,0.3161943407540534,0.008510150599543779,0.16766778790658488,17.254231966890146,0.00011771404364430062,0.0,0.02524705426882621,0.015351144005595008,0.0012738853693008423,0.000249002523029983,0.009710731678695066,0.02564199395770393,0.38912386706948643,0.16079377075684884,0.34627328914885197,1011,gate-head
sb,cell@0.1,36,170430,1779,0.2834154550639715,0.009285819116513628,0.873888633711058,83.7110077639871,8.868628850436356e-05,0.0,0.03199177739245375,0.002614106645527748,0.0011032398324459791,0.00023690078037904124,0.010438303115648653,0.022695334457560428,0.357504215851602,0.1327099732057316,0.311713844069145,1143,gate-head
