arm,tgt,npos,frac_alive,ratio_med,ey_mean_pos,ey_max,reg_max
sp_log_s42,sb,111,0.5495495495495496,0.011672702617943287,2.9659817218780518,145.52987670898438,4.987229347229004
sp_log_s42,ns,43,0.23255813953488372,0.004538411274552345,0.11911995708942413,1.3284718990325928,0.8452122211456299
sp_log_s42,os,53,0.49056603773584906,0.024869415909051895,0.10913550853729248,0.5152878165245056,0.4156053960323334
sp_log_s43,sb,111,1.0,0.126517191529274,5.372272491455078,205.97415161132812,5.33259391784668
sp_log_s43,ns,43,0.7209302325581395,0.03967931121587753,0.9273498058319092,15.870640754699707,2.8255748748779297
sp_log_s43,os,53,0.4716981132075472,0.027420740574598312,0.22748158872127533,3.5533840656280518,1.5158706903457642
relu_log_s42,sb,111,0.0,0.0,0.0,0.23801374435424805,0.21350827813148499
relu_log_s42,ns,43,0.0,0.0,0.0,0.0,0.0
relu_log_s42,os,53,0.0,0.0,0.0,0.0,0.0
relu_log_s43,sb,111,0.0,0.0,0.0,0.0,0.0
relu_log_s43,ns,43,0.023255813953488372,0.0,0.008205890655517578,0.8091381192207336,0.5928505659103394
relu_log_s43,os,53,0.0,0.0,0.0,0.0,0.0
sp_count_s42,sb,111,0.10810810810810811,2.0554405182338087e-06,0.05906405299901962,1.9091906547546387,1.0678749084472656
sp_count_s42,ns,43,0.23255813953488372,3.943271076423116e-05,0.14903703331947327,4.539349555969238,1.7118771076202393
sp_count_s42,os,53,0.20754716981132076,0.0012970614479854703,0.06753714382648468,0.9961903691291809,0.6912405490875244
sp_count_s43,sb,111,0.14414414414414414,9.267285349778831e-05,0.07044599950313568,3.3830227851867676,1.477738618850708
sp_count_s43,ns,43,0.27906976744186046,0.0023202451411634684,0.1140163242816925,2.1581249237060547,1.149978518486023
sp_count_s43,os,53,0.24528301886792453,0.004452866967767477,0.0556001253426075,1.1156598329544067,0.7493667602539062
relu_count_s42,sb,111,0.0,0.0,8.788931154413149e-05,0.5955337285995483,0.4672083258628845
relu_count_s42,ns,43,0.0,0.0,0.0,0.6842880249023438,0.521342933177948
relu_count_s42,os,53,0.0,0.0,0.0,0.0,0.0
relu_count_s43,sb,111,0.0,0.0,0.0,0.28182896971702576,0.24828793108463287
relu_count_s43,ns,43,0.0,0.0,0.0,0.8604028224945068,0.6207930445671082
relu_count_s43,os,53,0.0,0.0,0.0,0.2643274962902069,0.23454035818576813
