target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,occurrence_real_magnitude_model,1,170430,1343,0.47446137531603655,0.005458671752969421,0.1299383132638776,16.279722991927194,0.001666117155100241,0.0,0.5843472941936481,0.2545377380732257,0.015949629247188568,0.0016726075221498563,0.007880068063134425,0.2122580044676098,0.47133283693224126,2.4770246482651,5.167555311703569,710,gate-head
sb,occurrence_real_magnitude_model,6,170430,1336,0.4651895516368862,0.005427961020479351,0.11065198596519264,13.867257668553087,0.001961995829898505,0.006318430439399107,0.5957507216587079,0.33019475987879093,0.020624253898859024,0.0016627060963445403,0.007838995482016078,0.2121070359281437,0.468562874251497,3.024295799161347,4.654952173987136,710,gate-head
sb,occurrence_real_magnitude_model,12,170430,1379,0.4673929440022089,0.0055839606507236735,0.10606363776826207,12.836172609752756,0.0022202989393488044,0.015625,0.5510185431244238,0.36509949866309,0.02403268776834011,0.0018123276418470927,0.008091298480314498,0.22398477157360408,0.47643219724437996,3.441828350363676,3.921803705178802,722,gate-head
sb,occurrence_real_magnitude_model,18,170430,1547,0.4689173732399563,0.006202906959154688,0.12643004556138465,13.641263836156757,0.0026316296518434663,0.02025623268698061,0.6835339285902611,0.3705631562501702,0.028312500566244125,0.001980651880537464,0.009077040427154844,0.21820458952811891,0.4906270200387847,3.8078998988352453,4.436594271416406,788,gate-head
sb,occurrence_real_magnitude_model,24,170430,1590,0.47039147644498597,0.006389415613952889,0.1265784752732844,13.308009045503143,0.0024463110547018533,0.02032520325203252,0.7185991472901996,0.36243166126227716,0.025850286707282066,0.0021200052807604296,0.009329343425453265,0.22724056603773587,0.48867924528301887,3.105396712691435,4.516328932158888,813,gate-head
sb,occurrence_real_magnitude_model,30,170430,1655,0.46304667322713466,0.006645343516592278,0.16280829656615836,16.425785969390205,0.003334274652226821,0.017045453190803528,0.7525719592771892,0.36028350551846766,0.035945046693086624,0.002305198615267265,0.009710731678695066,0.23738670694864047,0.4906344410876133,3.8099792875429066,4.898860885555227,843,gate-head
sb,occurrence_real_magnitude_model,36,170430,1779,0.46259364173556583,0.00722948952584374,0.8665872490738106,82.75676732591681,0.0027760036219383424,0.020833333333333332,0.7630542277713817,0.05958863448673569,0.027638066560029984,0.002449686088130024,0.010438303115648653,0.23468240584598088,0.47273749297358064,2.90911516185,4.445972110726179,938,gate-head
