target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,occurrence_model_magnitude_real,1,170430,1343,0.47446137531603655,0.005458671752969421,0.1299383132638776,16.279722991927194,0.001666117155100241,0.0,0.5843472941936481,0.2545377380732257,0.015949629247188568,0.0016726075221498563,0.007880068063134425,0.2122580044676098,0.47133283693224126,2.4770246482651,5.167555311703569,710,gate-head
sb,occurrence_model_magnitude_real,6,170430,1336,0.3925788442603325,0.006539699622093283,0.11546174106930478,14.715387583400743,0.00010873667320082855,0.0,0.07034765904385294,0.035899926786066474,0.0014877080684527755,0.000239101097224667,0.007838995482016078,0.03050149700598802,0.4221556886227545,0.23227008069271868,0.8049645572900772,772,gate-head
sb,occurrence_model_magnitude_real,12,170430,1379,0.3141185696031031,0.0076222319589004,0.1117494856722433,13.809126291213323,1.5851355728465982e-05,0.0,0.01428929111629418,0.004434088624276769,0.00023883325047791004,3.3738191632928474e-05,0.008091298480314498,0.004169688179840464,0.37055837563451777,0.02800979224904891,0.08353718012979586,868,gate-head
sb,occurrence_model_magnitude_real,18,170430,1547,0.2599961703246166,0.008855440200699182,0.13462730299820005,14.83122828457584,3.677656983900479e-06,0.0,0.0026745873133546963,0.000719048254512204,5.884251368115656e-05,5.867511588335387e-06,0.009077040427154844,0.0006464124111182935,0.31286360698125404,0.008113828702345281,0.006198347230588109,1063,gate-head
sb,occurrence_model_magnitude_real,24,170430,1590,0.20307686576630313,0.009215580632675155,0.1330896711612485,14.264327830188678,1.2979187464945635e-05,0.0,5.241090146750524e-05,0.0015679421833310581,0.00020766700617969036,1.100158422812885e-06,0.009329343425453265,0.0001179245283018868,0.28679245283018867,0.0,0.0010964912280701754,1134,gate-head
sb,occurrence_model_magnitude_real,30,170430,1655,0.16311403500350136,0.009639014044291617,0.16872632367394239,17.37522658610272,1.6201303510591022e-07,0.0,0.0,1.521421598758926e-05,2.5922086024365854e-06,3.667194742709617e-07,0.009710731678695066,3.7764350453172205e-05,0.24229607250755286,0.0003488835725677831,0.0,1254,gate-head
sb,occurrence_model_magnitude_real,36,170430,1779,0.1288039948500222,0.010387748825078681,0.8746770576630576,83.79482855536818,1.250733852163113e-06,0.0,0.0,2.2640220905578237e-05,2.0011741071357392e-05,3.667194742709617e-07,0.010438303115648653,3.5132096683530073e-05,0.20854412591343452,0.0,0.0,1408,gate-head
