corr_ls1.0_clustering,corr_ls1.0_n_active,corr_ls2.0_clustering,corr_ls2.0_n_active,corr_ls3.0_clustering,corr_ls3.0_n_active,corr_ls5.0_clustering,corr_ls5.0_n_active,corr_ls8.0_clustering,corr_ls8.0_n_active,gate_mass,gate_mean,gate_moran_i,indep_n_active,indep_clustering,topk_n_active,topk_clustering,origin,sample_idx,step,target_idx
0.8294117647058824,170,1.1791044776119404,268,1.2420382165605095,157,0.9663865546218487,119,1.1799163179916319,239,185.60853576660156,0.00572865828871727,0.6654274142916248,195,0.5076923076923077,186,1.086021505376344,335,0,1,0
0.7380952380952381,42,1.0895522388059702,67,0.9411764705882353,17,1.024390243902439,41,1.0625,32,48.5853385925293,0.0014995475066825747,0.6988274220439802,47,0.574468085106383,49,1.1020408163265305,335,0,1,1
0.6567164179104478,67,0.9012345679012346,81,1.305084745762712,118,1.0606060606060606,66,1.2049180327868851,122,73.28069305419922,0.0022617497015744448,0.6089484448494383,80,0.4125,73,1.0136986301369864,335,0,1,2
0.7638888888888888,144,1.0,107,1.0,84,1.1384615384615384,130,0.9078947368421053,76,131.29415893554688,0.004052288830280304,0.6457908937657107,152,0.40789473684210525,131,1.0381679389312977,335,0,2,0
0.6363636363636364,22,0.5625,16,1.0,21,1.2162162162162162,37,1.2413793103448276,29,29.80150604248047,0.0009197995532304049,0.6547618421608151,31,0.3548387096774194,30,1.0333333333333334,335,0,2,1
0.48,50,0.5714285714285714,28,1.3068181818181819,88,0.9090909090909091,33,0.375,8,42.17188262939453,0.0013016012962907553,0.48995054469876287,46,0.17391304347826086,42,0.7619047619047619,335,0,2,2
0.7323943661971831,71,1.1818181818181819,88,0.8793103448275862,58,1.186206896551724,145,1.2521739130434784,115,93.82904052734375,0.002895958023145795,0.6385283409841961,105,0.3523809523809524,94,0.9468085106382979,335,0,3,0
0.35714285714285715,14,0.9523809523809523,21,1.2,15,1.4545454545454546,33,1.3932584269662922,89,17.294036865234375,0.0005337665788829327,0.4027058554570581,27,0.18518518518518517,17,0.8235294117647058,335,0,3,1
0.6956521739130435,23,0.7586206896551724,29,0.14285714285714285,7,0.3333333333333333,9,0.9523809523809523,21,29.93927764892578,0.0009240517974831164,0.49975017282435036,27,0.0,30,0.8333333333333334,335,0,3,2
0.7424242424242424,66,1.0232558139534884,86,1.434782608695652,115,1.2340425531914894,47,0.7777777777777778,9,74.37814331054688,0.002295621670782566,0.6648806746625612,73,0.2191780821917808,74,0.972972972972973,335,0,4,0
0.2,10,0.8695652173913043,23,0.5,6,-1.0,0,0.75,8,13.833206176757812,0.000426950806286186,0.4155608006129601,16,0.0625,14,0.7857142857142857,335,0,4,1
0.9090909090909091,22,0.8235294117647058,17,0.5,2,0.7727272727272727,22,1.4285714285714286,154,25.82928466796875,0.0007972001330927014,0.643033342838251,23,0.043478260869565216,26,1.1153846153846154,335,0,4,2
0.7288135593220338,59,1.0125,80,0.9310344827586207,29,0.8,15,1.5746606334841629,442,58.96394729614258,0.0018198748584836721,0.6597860277905249,65,0.23076923076923078,59,0.9830508474576272,335,0,5,0
0.6842105263157895,19,1.0,13,-1.0,0,0.0,1,-1.0,0,10.90789794921875,0.00033666350645944476,0.4595900115683566,9,0.0,11,0.9090909090909091,335,0,5,1
0.47368421052631576,19,1.2222222222222223,63,-1.0,0,0.5714285714285714,7,-1.0,0,20.03352928161621,0.0006183187942951918,0.7075295846300916,30,0.03333333333333333,20,1.05,335,0,5,2
0.48,50,0.9428571428571428,35,0.8,20,0.8095238095238095,21,1.5046728971962617,107,49.388771057128906,0.0015243447851389647,0.6306932748632414,57,0.12280701754385964,49,0.9183673469387755,335,0,6,0
0.6666666666666666,3,0.9523809523809523,21,0.6666666666666666,3,0.0,1,-1.0,0,10.048316955566406,0.00031013324041850865,0.4617627539518782,14,0.0,10,0.7,335,0,6,1
0.6153846153846154,26,0.95,20,1.4390243902439024,41,-1.0,0,-1.0,0,17.660024642944336,0.000545062473975122,0.726122509478347,16,0.0,18,1.0,335,0,6,2
0.45652173913043476,46,0.7391304347826086,23,1.1785714285714286,56,0.7857142857142857,14,0.5,2,43.32587814331055,0.0013372184475883842,0.6314475034377248,40,0.15,43,0.9069767441860465,335,0,7,0
0.2,10,0.0,1,0.0,1,0.0,1,0.5,2,9.724475860595703,0.00030013814102858305,0.4192370987517466,7,0.0,10,0.9,335,0,7,1
0.13333333333333333,15,1.0,8,0.8571428571428571,7,-1.0,0,-1.0,0,16.55590057373047,0.0005109845660626888,0.6335932420855862,19,0.0,17,0.9411764705882353,335,0,7,2
0.5833333333333334,48,0.88,50,0.9705882352941176,34,-1.0,0,0.4,5,38.601139068603516,0.0011913931230083108,0.5880849784187254,43,0.023255813953488372,39,0.8717948717948718,335,0,8,0
0.2727272727272727,11,1.0,14,0.5,2,0.5,4,-1.0,0,9.293509483337402,0.0002868367009796202,0.4957611019561718,7,0.0,9,0.8888888888888888,335,0,8,1
0.4444444444444444,18,1.12,25,-1.0,0,1.676056338028169,71,-1.0,0,15.092230796813965,0.00046580960042774677,0.7160979565590467,11,0.0,15,1.0666666666666667,335,0,8,2
0.3157894736842105,19,0.8846153846153846,26,0.25,4,0.25,4,-1.0,0,34.73838806152344,0.0010721724247559905,0.5694873431625176,32,0.0625,35,0.7714285714285715,335,0,9,0
0.17647058823529413,17,-1.0,0,1.3513513513513513,37,1.5081967213114753,61,-1.0,0,9.045949935913086,0.00027919598505832255,0.5314111710086433,7,0.0,9,0.8888888888888888,335,0,9,1
0.4,20,-1.0,0,1.2222222222222223,9,0.5,4,-1.0,0,14.240339279174805,0.00043951664702035487,0.7213918103309048,12,0.0,14,1.0,335,0,9,2
0.36363636363636365,33,1.0,10,1.2258064516129032,31,0.5,6,1.096774193548387,31,32.05872344970703,0.0009894667891785502,0.6242182206082956,34,0.0,32,0.5625,335,0,10,0
0.45454545454545453,11,-1.0,0,1.1111111111111112,9,-1.0,0,-1.0,0,8.84408187866211,0.0002729654952418059,0.5565237812259916,9,0.0,9,0.7777777777777778,335,0,10,1
0.35294117647058826,17,0.5,4,0.8,15,0.0,1,0.3333333333333333,9,13.639749526977539,0.0004209799226373434,0.7236978106926768,14,0.0,14,0.7857142857142857,335,0,10,2
0.45714285714285713,35,0.7727272727272727,22,0.8928571428571429,28,1.4415584415584415,77,-1.0,0,30.22924041748047,0.000933001225348562,0.6908806815800578,39,0.0,30,0.5333333333333333,335,0,11,0
0.35294117647058826,17,0.7692307692307693,13,1.125,8,-1.0,0,0.5,4,8.707711219787598,0.00026875652838498354,0.5223732193178163,5,0.0,9,0.6666666666666666,335,0,11,1
0.7058823529411765,17,1.0909090909090908,22,1.4444444444444444,18,0.8,5,0.8571428571428571,21,13.161317825317383,0.00040621351217851043,0.7211153173455953,11,0.0,13,0.8461538461538461,335,0,11,2
0.20689655172413793,29,0.75,16,1.1666666666666667,54,0.25,4,1.492537313432836,67,28.922962188720703,0.0008926840382628143,0.7133677482079853,38,0.0,29,0.5862068965517241,335,0,12,0
0.5555555555555556,9,-1.0,0,0.6666666666666666,6,0.8235294117647058,17,0.8888888888888888,18,8.608667373657227,0.0002656996075529605,0.4997339658034976,7,0.0,9,0.1111111111111111,335,0,12,1
0.14285714285714285,7,1.2727272727272727,11,1.0,5,-1.0,0,-1.0,0,12.79257869720459,0.0003948326630052179,0.7007078611272334,12,0.0,13,0.6153846153846154,335,0,12,2
0.4444444444444444,18,0.9166666666666666,36,1.1818181818181819,55,-1.0,0,-1.0,0,27.95580291748047,0.0008628334035165608,0.707451992942721,21,0.0,28,0.5714285714285714,335,0,13,0
0.6153846153846154,13,1.0,4,1.1538461538461537,13,-1.0,0,-1.0,0,8.534307479858398,0.0002634045376908034,0.4887680964106318,5,0.0,9,0.0,335,0,13,1
0.1111111111111111,9,0.6666666666666666,6,0.625,8,1.3333333333333333,21,-1.0,0,12.503308296203613,0.0003859045682474971,0.6682481082834449,12,0.0,13,0.38461538461538464,335,0,13,2
0.21739130434782608,23,0.47368421052631576,19,0.75,20,0.5555555555555556,18,0.0,2,27.185848236083984,0.0008390693692490458,0.6864942731062595,28,0.0,27,0.5925925925925926,335,0,14,0
0.5714285714285714,14,0.8333333333333334,24,-1.0,0,0.5,2,1.3888888888888888,18,8.473146438598633,0.00026151686324737966,0.48093977770781304,8,0.0,8,0.0,335,0,14,1
0.3333333333333333,15,0.8181818181818182,11,0.4,5,-1.0,0,-1.0,0,12.270055770874023,0.000378705415641889,0.6325809375252424,14,0.07142857142857142,12,0.3333333333333333,335,0,14,2
0.3870967741935484,31,0.9090909090909091,22,1.1408450704225352,71,-1.0,0,0.21428571428571427,14,26.57752799987793,0.0008202940807677805,0.65860237302512,23,0.0,27,0.6296296296296297,335,0,15,0
0.5,4,0.5,4,0.9375,16,-1.0,0,-1.0,0,8.422139167785645,0.000259942578850314,0.4746546113035295,5,0.0,8,0.0,335,0,15,1
0.5714285714285714,14,1.35,20,0.2,5,0.0,2,1.0416666666666667,24,12.081243515014648,0.0003728778974618763,0.5992140630638004,7,0.0,12,0.4166666666666667,335,0,15,2
0.0,7,0.9333333333333333,15,1.1012658227848102,79,1.4,30,0.0,1,26.090946197509766,0.0008052760967984796,0.6267996189640324,28,0.0,26,0.6923076923076923,335,0,16,0
0.25,8,1.1702127659574468,47,0.4,5,0.8333333333333334,6,1.6065573770491803,61,8.38029670715332,0.0002586511254776269,0.47003067227150447,7,0.0,8,0.0,335,0,16,1
0.4375,16,0.0,1,0.7142857142857143,7,-1.0,0,1.7777777777777777,108,11.925142288208008,0.00036805993295274675,0.568951881823205,7,0.0,12,0.4166666666666667,335,0,16,2
0.2857142857142857,21,0.5333333333333333,15,0.8787878787878788,33,1.3076923076923077,39,1.7303754266211604,293,25.698585510253906,0.0007931662257760763,0.5929921899931536,24,0.0,26,0.7307692307692307,335,0,17,0
0.125,8,1.0909090909090908,11,0.0,1,0.0,3,1.7719298245614035,228,8.345759391784668,0.0002575851685833186,0.46651475969640244,8,0.0,8,0.0,335,0,17,1
