target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,identity,1,170430,1343,0.47446137531603655,0.005458671752969421,0.1299383132638776,16.279722991927194,0.001666117155100241,0.0,0.5843472941936481,0.2545377380732257,0.015949629247188568,0.0016726075221498563,0.007880068063134425,0.2122580044676098,0.47133283693224126,2.4770246482651,5.167555311703569,710,gate-head
sb,identity,6,170430,1336,0.38761503414796733,0.00656995044269889,0.1152271781103937,14.683827654242481,0.00012167326626871328,0.0,0.06189310748389142,0.04079095644779309,0.0016865619691088796,0.00021563105087132547,0.007838995482016078,0.027507485029940118,0.4214071856287425,0.25695343228854617,0.8292628970281692,773,gate-head
sb,identity,12,170430,1379,0.3131536451611167,0.007636208223346097,0.11176967816649758,13.809837291389973,3.040872334033497e-05,0.0,0.003886887484693008,0.0055516227496052745,0.000456223264336586,3.0804435838760785e-05,0.008091298480314498,0.003807106598984772,0.3756345177664975,0.04152148577809749,0.055501930674530825,861,gate-head
sb,identity,18,170430,1547,0.25380465886486925,0.008863822423547862,0.1346290678357902,14.83175096962223,6.707676210000702e-07,0.0,0.0005264335417555854,0.00023151174636024338,1.073228213499533e-05,4.767353165522502e-06,0.009077040427154844,0.0005252100840336134,0.31351001939237233,0.0009416195576249319,0.007216495029705087,1062,gate-head
sb,identity,24,170430,1590,0.20322883002138215,0.009217944871054682,0.13310683821676897,14.264779874213836,2.6050919710573104e-05,0.0,0.0,0.0031028173963698748,0.00041681472794152796,2.9337557941676936e-06,0.009329343425453265,0.0003144654088050315,0.2792452830188679,0.0025632637333495457,0.0,1146,gate-head
sb,identity,30,170430,1655,0.15793527151435216,0.009642407393564114,0.16872662163351523,17.375153417673715,1.1803806843430604e-06,0.0,3.7764350453172205e-05,0.00011301988634326332,1.88860904017929e-05,1.100158422812885e-06,0.009710731678695066,0.00011329305135951662,0.23927492447129908,0.0025317712470214458,0.00015782828282828284,1259,gate-head
sb,identity,36,170430,1779,0.130282474242923,0.010388933501828217,0.8746758199847444,83.79482855536818,0.0,0.0,0.0,0.0,0.0,0.0,0.010438303115648653,0.0,0.2119168071950534,0.0,0.0,1402,gate-head
