corr_ls1.0_clustering,corr_ls1.0_n_active,corr_ls2.0_clustering,corr_ls2.0_n_active,corr_ls3.0_clustering,corr_ls3.0_n_active,corr_ls5.0_clustering,corr_ls5.0_n_active,corr_ls8.0_clustering,corr_ls8.0_n_active,gate_mass,gate_mean,gate_moran_i,indep_n_active,indep_clustering,topk_n_active,topk_clustering,origin,sample_idx,step,target_idx
0.9921259842519685,254,1.0862068965517242,232,1.3022388059701493,268,1.3783783783783783,296,0.9532710280373832,107,239.29478454589844,0.00738564133644104,0.7233704121823946,255,0.615686274509804,239,1.1757322175732217,335,0,1,0
0.8130841121495327,107,0.8518518518518519,81,1.1724137931034482,58,1.180327868852459,122,0.8666666666666667,30,113.57199096679688,0.0035053084138780832,0.6905965153632991,99,0.3333333333333333,114,1.1403508771929824,335,0,1,1
0.5494505494505495,91,0.9836065573770492,61,0.7333333333333333,45,1.1153846153846154,52,1.3641025641025641,195,83.19660949707031,0.002567796502262354,0.5920164135957798,82,0.18292682926829268,83,0.891566265060241,335,0,1,2
1.0368852459016393,244,1.1611111111111112,180,1.2935323383084578,201,0.881578947368421,76,1.4840085287846483,469,218.53036499023438,0.006744764279574156,0.7441718108688352,190,0.5789473684210527,219,1.1917808219178083,335,0,2,0
0.4864864864864865,74,1.054945054945055,91,1.4137931034482758,29,1.108433734939759,83,1.3884297520661157,121,88.0024642944336,0.0027161254547536373,0.5322984909419506,93,0.11827956989247312,88,1.125,335,0,2,1
0.7160493827160493,81,1.0704225352112675,71,1.4153846153846155,130,1.358974358974359,39,1.2777777777777777,36,73.42158508300781,0.002266098279505968,0.5850074025596481,66,0.09090909090909091,73,0.8493150684931506,335,0,2,2
0.9558232931726908,249,1.2252747252747254,182,1.2040816326530612,147,1.4700460829493087,217,0.7647058823529411,85,205.6482391357422,0.006347167771309614,0.7221311344988381,198,0.43434343434343436,206,1.2087378640776698,335,0,3,0
0.5737704918032787,61,1.1978021978021978,91,1.2525252525252526,99,1.121212121212121,33,1.5145631067961165,103,77.95870971679688,0.0024061331059783697,0.561654147112828,75,0.14666666666666667,78,1.0769230769230769,335,0,3,1
0.6385542168674698,83,0.9054054054054054,74,1.2197802197802199,91,0.8,15,0.6363636363636364,11,69.43415069580078,0.0021430293563753366,0.5220731578582227,71,0.028169014084507043,69,0.8260869565217391,335,0,3,2
0.835820895522388,201,1.178082191780822,219,1.3349056603773586,212,1.1009174311926606,109,1.5565610859728507,221,195.36370849609375,0.006029744166880846,0.7083947913487917,191,0.4397905759162304,195,1.1282051282051282,335,0,4,0
