arm,h,moran_i,conc1pct,fss_1,fss_11,fss_ratio,n_origins
identity,1,0.6553864754082238,0.4999207211489812,0.47926998368018114,0.8408351890891259,0.5715510239322461,13
identity,2,0.6478726002125179,0.5203670662456821,0.4548599386041965,0.8192183191489769,0.5563980953365362,13
identity,3,0.6337432551289579,0.5285045189206784,0.45358647396129925,0.8289698062411243,0.5470992363328933,13
identity,4,0.621378534709946,0.5306973907344744,0.45088254791132387,0.8228593318301787,0.5489218327701395,13
identity,5,0.6147217600053517,0.531758258854214,0.42968167714331856,0.8091297515874697,0.5321118703969503,13
identity,6,0.60383934990253,0.528755148835412,0.4254717912422239,0.8124779357167543,0.5238403368075606,13
identity,7,0.5965763334005657,0.525000881473711,0.4166076860678519,0.7998731522455313,0.5207010293529737,13
identity,8,0.580346132428531,0.5165788031323707,0.4307459896852214,0.8066531194227954,0.5342727371924189,13
identity,9,0.5715726634255222,0.5093710374479206,0.42280414554038304,0.8100431772849621,0.5220105847351879,13
identity,10,0.5649493991807508,0.5033822688738233,0.40890093748703005,0.8092373670074732,0.50409370428652,13
identity,11,0.5561768829121084,0.49504480238256326,0.4165047595469372,0.8173048501655615,0.508974306215292,13
identity,12,0.5408059588936199,0.4873149264688913,0.4086526092162681,0.8198359805530432,0.49862844775225335,13
identity,13,0.5324742217809225,0.48024728178466464,0.40643232072109775,0.8213180050123914,0.4957871731214611,13
identity,14,0.5271943676732812,0.47350326756168226,0.3975152504550387,0.8181368225059228,0.4861802706939351,13
identity,15,0.5256440412225344,0.4686421940441697,0.4024463705871537,0.8097438673156502,0.49784210125436884,13
identity,16,0.519678171767247,0.4612587696035167,0.38884969989618395,0.8032008356210506,0.4846402579739956,13
identity,17,0.5200603881158732,0.45473089349896384,0.3887582451086803,0.8012600017454248,0.4865036944406293,13
identity,18,0.5188990251042523,0.4475315783054874,0.3878710333887955,0.8049118167426808,0.4818258238792765,13
identity,19,0.5137011058775681,0.44068992829448045,0.38853866360864053,0.8067954555622284,0.4823948952578101,13
identity,20,0.5128957385854771,0.43367161690526845,0.3833206495677762,0.8003639227866476,0.47998525579930146,13
identity,21,0.5183503335921003,0.42530002364545555,0.3758936309821357,0.8053640862455967,0.46730406711151945,13
identity,22,0.5176828966378515,0.4163875232890782,0.38839240752922416,0.8180851938972643,0.4753195615346669,13
identity,23,0.5200538278185257,0.4080552118423616,0.37938220088563424,0.807139901589936,0.4700990468244862,13
identity,24,0.5140032453187718,0.40035351697986077,0.3819244745834484,0.8076224740600243,0.4735159810862205,13
identity,25,0.5087349734712265,0.39147587467086786,0.38185731660087885,0.8155342350042577,0.46891419189284284,13
identity,26,0.5002870619112791,0.3852018205665648,0.37579034546480483,0.8106922038565165,0.46416910694274505,13
identity,27,0.48824120828375145,0.37971933359109206,0.3758162466857174,0.8040439830541524,0.4678224112629463,13
identity,28,0.4854464476221105,0.37188200855752085,0.3690795551945498,0.8158240634544017,0.4529553447603283,13
identity,29,0.4874517604616127,0.3604020217119403,0.35998259773786423,0.8145699324779422,0.4426467501987292,13
identity,30,0.4842411117796336,0.35137735181719465,0.35610353306029285,0.8189275854967079,0.4349782026960312,13
identity,31,0.4871767686372325,0.3417904584274876,0.35495378948496603,0.8128302818835719,0.43688868675282805,13
identity,32,0.48488368685145194,0.3361836368293105,0.3452082046511909,0.7970518007143254,0.4337007442211359,13
identity,33,0.48800509443158385,0.3264821384479849,0.35153613225207553,0.8117359911972916,0.4332113023045902,13
identity,34,0.48500400009392847,0.31790040154130816,0.3325341478712821,0.7993515155654495,0.4164352041355304,13
identity,35,0.49073079775423845,0.3076975663809512,0.32344369548739677,0.784184740238813,0.41399780214607396,13
identity,36,0.49035097083265067,0.3000765709711837,0.30888245127631725,0.7744276357930978,0.39915265428134866,13
use_real,1,0.6553864754082238,0.4999207211489812,0.47926998368018114,0.8408351890891259,0.5715510239322461,13
use_real,2,0.6495958845362977,0.49671589323040133,0.47548991619099207,0.8436964880996606,0.5652966982214257,13
use_real,3,0.6438789433494626,0.4961184724868891,0.48296490783250584,0.8533690024767828,0.5677013896317838,13
use_real,4,0.641679071123255,0.49831353559249153,0.4873101568757444,0.8654937372284841,0.5644926590822382,13
use_real,5,0.6391162434910774,0.4998531614247526,0.49210515483224326,0.8635732222182851,0.5711780335220655,13
use_real,6,0.6360845436772505,0.5001397137131148,0.48874755561687155,0.8592287694832217,0.5701776353922574,13
use_real,7,0.631796905581451,0.5004872524504292,0.49126764031393316,0.8551001499659961,0.5759202745914309,13
use_real,8,0.6312239378198379,0.5013161192326884,0.4872362407437123,0.8556463558745437,0.5706090037432476,13
use_real,9,0.6283621145254804,0.5007486733016686,0.4976766728154555,0.8585358529954494,0.5801149170989739,13
use_real,10,0.6276444209175549,0.5017496166230738,0.48080865879851986,0.8603839338733952,0.5599157616106866,13
use_real,11,0.6267260535880766,0.5013044843133473,0.4973626505445966,0.8693691999357764,0.5724702937236512,13
use_real,12,0.6251678003476713,0.5017427628076059,0.49847482564730855,0.8727193592031383,0.5720668590952127,13
