target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,dynfullzero_fortythree,1,170430,1343,0.4807143002208258,0.005619542859694725,0.12497325233128445,15.423902281521864,0.0034591105805706355,0.0625,0.7438078386201714,0.37333120335627906,0.025007836520671844,0.0031633221850613153,0.007880068063134425,0.4014333581533879,0.462397617274758,3.500865689151175,7.2064211934373,722,gate-head
sb,dynfullzero_fortythree,6,170430,1336,0.4218077847076473,0.005941413540386859,0.11245972962492297,14.281282162179467,0.0005128434557338025,0.0,0.18750330229931328,0.09794276241700207,0.004989088978618383,0.0008588570087425922,0.007838995482016078,0.10956212574850298,0.437125748502994,0.8727559973584845,1.821275696413566,752,gate-head
sb,dynfullzero_fortythree,12,170430,1379,0.3625322063650788,0.006906198457994995,0.11013456771523679,13.591965419416566,0.0001592067620561957,0.0,0.06244076871073652,0.03749803175239353,0.001846336293965578,0.0003267470515754269,0.008091298480314498,0.04038252356780276,0.39158810732414795,0.24567937932651007,0.7326388898271101,839,gate-head
sb,dynfullzero_fortythree,18,170430,1547,0.3349553172714768,0.00829893436205412,0.1336376188117435,14.71555581309248,6.450934215624751e-05,0.0,0.0344977173588801,0.015176275272858907,0.0007449684198945761,0.00014008683917150736,0.009077040427154844,0.015433096315449256,0.367808661926309,0.10544478631214618,0.38730229366642727,978,gate-head
sb,dynfullzero_fortythree,24,170430,1590,0.3065105078376734,0.008867601777875085,0.1328052114529844,14.231792944429571,3.222818223830578e-05,0.0,0.015915390099249586,0.00835501082445366,0.0004312514793127775,5.5374640614915216e-05,0.009329343425453265,0.005935534591194969,0.3622641509433962,0.05658284023668639,0.20073784132384592,1014,gate-head
sb,dynfullzero_fortythree,30,170430,1655,0.2580336179478836,0.009449273130915033,0.16860989024051162,17.36168098552687,1.5414383904154504e-05,0.0,0.004668513115460783,0.00211042912440521,0.00020663606119342148,2.897083846740597e-05,0.009710731678695066,0.002983383685800604,0.3341389728096677,0.03079628165534101,0.046677215836578426,1102,gate-head
sb,dynfullzero_fortythree,36,170430,1779,0.2050732151022816,0.010285246184105442,0.8746339681252132,83.79065222741785,1.760291985966821e-06,0.0,0.0035087485949130332,0.000115716669840134,2.7423495339462534e-05,1.4302059496567506e-05,0.010438303115648653,0.0013701517706576729,0.27543563799887577,0.0035395656009345575,0.025765306852301773,1289,gate-head
