target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,dualfullzero_fortytwo,1,170430,1343,0.4755127282917689,0.005497652467002749,0.124496906648873,15.456243006113088,0.0027221101738013585,0.0183823543436387,0.6523884655027128,0.3182978000979573,0.018514877185225487,0.0025963738778384086,0.007880068063134425,0.3294862248696947,0.47356664184661207,3.0327970507795774,6.881387677488837,707,gate-head
sb,dualfullzero_fortytwo,6,170430,1336,0.40472195132607575,0.006253996473772344,0.11302218557756917,14.359471481858089,0.00046197492650659587,0.0,0.19073426642636682,0.08566821479651039,0.003687298158183694,0.0006545942615736666,0.007838995482016078,0.08350486526946106,0.4273952095808383,0.670588237943213,1.8814579924852335,765,gate-head
sb,dualfullzero_fortytwo,12,170430,1379,0.3583016287930294,0.007280826999631868,0.11100144670229314,13.709637304519433,7.327208084850783e-05,0.0,0.04060627692740582,0.019558491218637043,0.0009830612689256668,0.00014302059496567506,0.008091298480314498,0.01767585206671501,0.38796229151559103,0.14454976373939152,0.3727803766170395,844,gate-head
sb,dualfullzero_fortytwo,18,170430,1547,0.31745074296953113,0.008662075705338243,0.13425467016544465,14.789216527243342,1.2467025403858334e-05,0.0,0.012824242254770699,0.004210790188628525,0.0001994724152609706,3.520506953001232e-05,0.009077040427154844,0.0038784744667097605,0.3516483516483517,0.015578265531231851,0.11328125525923337,1003,gate-head
sb,dualfullzero_fortytwo,24,170430,1590,0.26948515765480824,0.009116190488160945,0.13303363184283237,14.259483097481933,2.0359510640147964e-06,0.0,0.00019851194623138628,0.00048498742490104256,3.2575215300312266e-05,5.500792114064425e-06,0.009329343425453265,0.0005896226415094339,0.31572327044025156,0.0017233456978026558,0.01095617518007043,1088,gate-head
sb,dualfullzero_fortytwo,30,170430,1655,0.21856780251083188,0.009594146512698146,0.16871222789349435,17.37379154071797,0.0,0.0,0.0005570242058423042,6.955070011744814e-05,0.0,1.4668778970838468e-06,0.009710731678695066,0.00015105740181268882,0.2719033232628399,0.0,0.004444444709353977,1205,gate-head
sb,dualfullzero_fortytwo,36,170430,1779,0.1640920521656004,0.010371319172146242,0.8746699753931233,83.79426644182125,2.316173636681668e-08,0.0,0.00014199222409593405,1.3835689282532775e-05,3.7058777024867595e-07,1.100158422812885e-06,0.010438303115648653,0.00010539629005059021,0.22540753232152894,0.0,0.004987531172069825,1378,gate-head
