target,h,M_mean,M_p99,M_max
sb,1,0.1589142233133316,2.0,1006.625
sb,2,0.1659933626651764,2.625,297.1249694824219
sb,3,0.2376217544078827,3.499999761581421,1208.8751220703125
sb,4,0.23772075772285461,4.375,505.5
sb,5,0.3040764629840851,5.0,837.7498779296875
sb,6,0.3920040428638458,6.375,1531.375
sb,7,0.44817081093788147,7.625000476837158,822.625244140625
sb,8,0.590342104434967,9.499999046325684,1473.999755859375
sb,9,0.7594290971755981,11.5,4934.2490234375
sb,10,0.8104170560836792,12.375000953674316,1720.25048828125
sb,11,0.8105784058570862,13.750001907348633,876.6248779296875
sb,12,0.9207863807678223,15.000001907348633,2304.625732421875
sb,13,1.1101999282836914,16.25,7944.62841796875
sb,14,1.0921287536621094,16.875,4842.2490234375
sb,15,1.1182098388671875,17.499998092651367,1707.6243896484375
sb,16,1.0923421382904053,16.75,4320.3759765625
sb,17,1.2852072715759277,18.250003814697266,8755.37109375
sb,18,1.2419776916503906,18.5,4523.87548828125
sb,19,1.3102043867111206,19.999998893737793,3029.75048828125
sb,20,1.4326776266098022,21.25,5222.0009765625
sb,21,1.3207563161849976,20.624996185302734,1919.874267578125
sb,22,1.445845127105713,21.5,3711.625244140625
sb,23,1.4134879112243652,21.33874839782613,7140.75244140625
sb,24,1.4319236278533936,22.125,1988.9996337890625
sb,25,1.4361571073532104,21.749998092651367,3258.374755859375
sb,26,1.8536187410354614,25.250005168914797,17908.998046875
sb,27,1.8348991870880127,25.25,13271.998046875
sb,28,1.6548157930374146,25.124996185302734,2213.250244140625
sb,29,2.1420018672943115,28.250003814697266,15232.0029296875
sb,30,1.6263635158538818,25.37500135421753,1889.5
sb,31,1.8536584377288818,26.0,5647.25
sb,32,1.881372094154358,28.000003814697266,8745.8740234375
sb,33,2.0749192237854004,29.499996185302734,15268.625
sb,34,1.9807472229003906,30.713748950957232,2470.87548828125
sb,35,2.3221800327301025,31.874995079040527,33997.3828125
sb,36,2.147151231765747,32.124996185302734,17821.25390625
ns,1,0.09523337334394455,0.5,2773.499755859375
ns,2,0.09429164975881577,1.0,1595.750732421875
ns,3,0.12233028560876846,1.375,719.375
ns,4,0.15677037835121155,1.8750001192092896,2446.999755859375
ns,5,0.1954306811094284,2.75,604.125244140625
ns,6,0.27716803550720215,3.749999761581421,2033.7501220703125
ns,7,0.5230689644813538,5.125,32491.888671875
ns,8,0.4326395094394684,6.213750138281757,7368.25048828125
ns,9,0.5244367122650146,6.874999046325684,13842.4970703125
ns,10,0.5323989391326904,7.999998908042908,2156.8759765625
ns,11,0.5838797688484192,8.749999723434449,3150.873779296875
ns,12,0.7707467675209045,9.124999046325684,19168.1171875
ns,13,0.6049800515174866,8.625,3072.0009765625
ns,14,0.601152241230011,9.588750553130085,3225.75146484375
ns,15,0.5371618866920471,9.000001907348633,1664.125244140625
ns,16,0.651006281375885,9.08874987602132,3078.99951171875
ns,17,0.7281171083450317,9.000001907348633,6686.373046875
ns,18,0.7515365481376648,8.750000677108766,5342.125
ns,19,0.7637218832969666,8.250001630783082,17889.3671875
ns,20,0.8307802081108093,8.50000135421753,13212.62890625
ns,21,0.721356987953186,8.5,3357.12646484375
ns,22,0.7569097876548767,8.000001907348633,16550.380859375
ns,23,0.782036542892456,8.125,11461.4951171875
ns,24,0.7680755853652954,7.375,6670.6220703125
ns,25,0.6427690386772156,6.625000476837158,8469.75
ns,26,0.6576827764511108,6.75,6345.6240234375
ns,27,0.8366726636886597,6.750000476837158,11693.6201171875
ns,28,0.6892176866531372,6.25,7366.37451171875
ns,29,0.8169724941253662,5.999999523162842,27288.501953125
ns,30,0.710540235042572,5.625,13213.24609375
ns,31,0.6725429892539978,5.249999523162842,10342.751953125
ns,32,0.7154932022094727,4.749999523162842,12457.005859375
ns,33,0.7470355033874512,4.250000476837158,28034.0078125
ns,34,1.2171735763549805,3.625000238418579,43792.140625
ns,35,0.8102021217346191,3.499999761581421,18709.001953125
ns,36,0.815936803817749,3.499999761581421,25768.23828125
os,1,0.03725063055753708,0.375,605.2499389648438
os,2,0.04315994679927826,0.625,94.49998474121094
os,3,0.05302176997065544,0.7499999403953552,419.6248779296875
os,4,0.06399914622306824,1.0,380.3748779296875
os,5,0.0872088223695755,1.25,1560.000244140625
os,6,0.14098311960697174,1.4999998807907104,7899.2529296875
os,7,0.10511206835508347,1.7500001192092896,271.12493896484375
os,8,0.12713651359081268,2.125,815.7498779296875
os,9,0.1475759893655777,2.375,1048.0
os,10,0.15963006019592285,2.625,1944.250732421875
os,11,0.17369887232780457,2.875,2149.12451171875
os,12,0.16720427572727203,3.000000238418579,698.124755859375
os,13,0.1801113337278366,3.125,617.6251220703125
os,14,0.1950646936893463,3.250000238418579,1891.7503662109375
os,15,0.18621355295181274,3.250000238418579,713.125244140625
os,16,0.195824533700943,3.375000238418579,1892.6256103515625
os,17,0.34046822786331177,3.499999761581421,25118.126953125
os,18,0.19260619580745697,3.499999761581421,534.625244140625
os,19,0.21891099214553833,3.625000238418579,1628.125244140625
os,20,0.21782329678535461,3.625000238418579,746.249755859375
os,21,0.20912325382232666,3.500000238418579,611.1248779296875
os,22,0.21814674139022827,3.7499999308586123,1299.874755859375
os,23,0.2094811648130417,3.749999761581421,1073.37451171875
os,24,0.23373451828956604,3.75,981.25
os,25,0.22342604398727417,3.875,1429.0001220703125
os,26,0.21609972417354584,3.750000238418579,894.3748168945312
os,27,0.2908356785774231,3.875000238418579,10155.373046875
os,28,0.2270866334438324,4.0,576.999755859375
os,29,0.2206110954284668,4.0,648.3751831054688
os,30,0.2868831753730774,4.000000476837158,5579.50244140625
os,31,0.23321817815303802,4.000000476837158,1355.625
os,32,0.22931702435016632,4.000000476837158,657.875
os,33,0.23313090205192566,4.125,1597.000732421875
os,34,0.25817564129829407,4.250000476837158,2237.37451171875
os,35,0.2514602839946747,4.250000476837158,1532.250244140625
os,36,0.23519626259803772,4.375,1544.625244140625
