target,h,M_mean,M_p99,M_max
sb,1,0.1657828688621521,1.375,707.2498779296875
sb,2,0.377809077501297,3.1249999308586123,2960.749267578125
sb,3,0.4909009635448456,3.375000238418579,3531.0009765625
sb,4,0.8710255026817322,3.375000238418579,19132.630859375
sb,5,0.5844870805740356,3.250000238418579,15175.0068359375
sb,6,1.2421610355377197,3.375,28672.36328125
sb,7,1.0268064737319946,3.625,19283.8671875
sb,8,1.5496420860290527,3.749999761581421,30425.87890625
sb,9,0.9817249774932861,3.499999761581421,30724.638671875
sb,10,5.411956310272217,3.499999761581421,71488.4765625
sb,11,3.900611400604248,2.75,150087.1875
sb,12,3.82987117767334,2.375,311623.9375
sb,13,2.0192201137542725,1.875,117165.21875
sb,14,27.3624324798584,1.4999998807907104,502022.03125
sb,15,26.023164749145508,1.0,511140.0625
sb,16,138.31655883789062,0.875,2473477.5
sb,17,1.7590116262435913,0.5,92743.1171875
sb,18,3.06369948387146,0.625,37340.50390625
sb,19,66.48390197753906,0.5,1506014.0
sb,20,1.299968957901001,0.375,25609.36328125
sb,21,0.739251434803009,0.5,7982.7470703125
sb,22,12.119708061218262,0.375,410532.03125
sb,23,0.9699825644493103,0.25,13177.369140625
sb,24,0.6070858240127563,0.25,19526.630859375
sb,25,0.7621752023696899,0.125,39029.765625
sb,26,164.1713409423828,0.125,1854811.75
sb,27,0.9086925983428955,0.125,28702.8671875
sb,28,1.0102760791778564,0.0,44048.60546875
sb,29,1.321996808052063,0.0,76696.8984375
sb,30,0.509586751461029,0.0,10676.75
sb,31,1.8615765571594238,0.0,58386.13671875
sb,32,27.74610137939453,0.0,500188.375
sb,33,342.65850830078125,0.0,5415281.5
sb,34,0.8074290156364441,0.0,29872.12109375
sb,35,4.541958808898926,0.0,124090.203125
sb,36,1.464212417602539,0.0,121843.7109375
ns,1,0.1257275640964508,0.375,6817.751953125
ns,2,0.08609693497419357,0.625,772.7500610351562
ns,3,0.1407594084739685,0.5,1682.2501220703125
ns,4,0.38083451986312866,0.375,15298.2568359375
ns,5,0.6115599274635315,0.375,33232.515625
ns,6,0.15190914273262024,0.25,5668.1259765625
ns,7,4.281289577484131,0.25,639710.4375
ns,8,0.33589819073677063,0.25,28786.505859375
ns,9,1.615059733390808,0.25,219614.109375
ns,10,1.9433445930480957,0.25,168983.5
ns,11,0.8238080739974976,0.25,70849.8671875
ns,12,7.634505271911621,0.125,664433.375
ns,13,7.533213138580322,0.125,864183.0
ns,14,4.3217315673828125,0.125,567222.4375
ns,15,0.7220911979675293,0.125,64779.0
ns,16,0.254864901304245,0.125,6601.5
ns,17,0.36088570952415466,0.125,21741.87109375
ns,18,0.5197572708129883,0.125,31467.236328125
ns,19,5.166946887969971,0.0,680589.6875
ns,20,4.476548194885254,0.0,614536.75
ns,21,16.472816467285156,0.0,1298079.5
ns,22,20.078601837158203,0.0,1527124.0
ns,23,15.8849458694458,0.0,1917471.375
ns,24,9.580099105834961,0.0,1465045.25
ns,25,0.9204776287078857,0.0,71321.234375
ns,26,24.097930908203125,0.0,3688783.0
ns,27,67.62642669677734,0.0,10181891.0
ns,28,6.9750075340271,0.0,858708.25
ns,29,1.0869241952896118,0.0,91628.625
ns,30,3.2285284996032715,0.0,384107.625
ns,31,33.249725341796875,0.0,2975882.25
ns,32,0.9403998255729675,0.0,61782.7265625
ns,33,0.27693259716033936,0.0,9379.1240234375
ns,34,7.737226963043213,0.0,1272093.625
ns,35,31.97044563293457,0.0,3261200.0
ns,36,0.23448480665683746,0.0,8458.7470703125
os,1,0.03710687533020973,0.375,510.3747863769531
os,2,0.0567014254629612,0.375,2578.248779296875
os,3,0.062182407826185226,0.375,1482.62451171875
os,4,0.4370754361152649,0.375,64490.890625
os,5,0.059913162142038345,0.375,3090.12548828125
os,6,1.0457918643951416,0.375,131454.1875
os,7,0.3073122799396515,0.375,41948.734375
os,8,0.1900486797094345,0.375,18148.12109375
os,9,0.20470571517944336,0.375,17623.744140625
os,10,0.1437467336654663,0.375,16562.380859375
os,11,0.07146116346120834,0.375,2589.876220703125
os,12,4.7887492179870605,0.25,691563.9375
os,13,0.4621216356754303,0.25,68092.515625
os,14,58.84861373901367,0.25,10019638.0
os,15,0.056121282279491425,0.125,2327.625
os,16,0.26338672637939453,0.125,41288.375
os,17,6.918657302856445,0.125,1174409.25
os,18,1.1203985214233398,0.125,185865.390625
os,19,2.068772315979004,0.125,303831.5
os,20,1.4574649333953857,0.125,230234.625
os,21,0.02820659428834915,0.125,1404.125
os,22,0.578153133392334,0.0,96330.140625
os,23,7.097114086151123,0.0,1108196.75
os,24,0.16586871445178986,0.0,23644.630859375
os,25,36.167030334472656,0.0,5327971.0
os,26,2.099506378173828,0.0,121018.0234375
os,27,0.03244587406516075,0.0,2018.875244140625
os,28,5.269126892089844,0.0,674961.75
os,29,3.646350145339966,0.0,389399.96875
os,30,2.2155332565307617,0.0,302019.5625
os,31,2.371384620666504,0.0,403050.3125
os,32,0.014844071120023727,0.0,1138.0001220703125
os,33,3.714677572250366,0.0,314883.78125
os,34,0.20492421090602875,0.0,28452.48828125
os,35,0.02115604840219021,0.0,1552.875
os,36,1.4284453392028809,0.0,241598.8125
