target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,zinb_20260724_000250_sample,1,170430,1320,0.014141898605597295,0.009451552690254062,0.15879301725082545,17.932634950869463,0.02005804384667075,0.0,0.6455103681435067,frac(samples>0)
sb,zinb_20260724_000250_sample,2,170430,1318,0.011951952643595918,0.010192692747755677,0.1476711481972241,16.936018115466343,0.01682862192551836,0.0,0.3001778285855568,frac(samples>0)
sb,zinb_20260724_000250_sample,3,170430,1315,0.01013261604477279,0.011193378513172564,0.1461664064300929,16.356725281737603,0.020116766120070868,0.0,0.28968815425077804,frac(samples>0)
sb,zinb_20260724_000250_sample,4,170430,1312,0.009647114409931424,0.011981550343249428,0.1386478321779899,14.522806307352035,0.027057014409163718,0.0,0.29872311275256025,frac(samples>0)
sb,zinb_20260724_000250_sample,5,170430,1295,0.0080759750835192,0.012899449187349645,0.14876048841902167,14.775542954548216,0.03676898285460683,0.0,0.21665524467453887,frac(samples>0)
sb,zinb_20260724_000250_sample,6,170430,1312,0.008205862543452827,0.013669651763187232,0.16362381254353484,14.848120711085091,0.04970300026520537,0.0,0.19800545482791582,frac(samples>0)
sb,zinb_20260724_000250_sample,7,170430,1314,0.008044947293591235,0.01436440180719357,0.1729626906313842,14.496254290636951,0.06167336754895961,0.0,0.2860525582483772,frac(samples>0)
sb,zinb_20260724_000250_sample,8,170430,1308,0.007999918170949792,0.014499629613330987,0.17471661763694696,14.355564313163178,0.06504106516152501,0.0,0.31699561905582063,frac(samples>0)
sb,zinb_20260724_000250_sample,9,170430,1334,0.007992276557671782,0.014959495834066772,0.18512402514557194,14.07134321336446,0.07557550597844796,0.0,0.49314740767000254,frac(samples>0)
sb,zinb_20260724_000250_sample,10,170430,1336,0.008239477622085137,0.015111409376283517,0.18041498108422652,13.661548002221494,0.07390148139624594,0.0,0.26399777302910465,frac(samples>0)
sb,zinb_20260724_000250_sample,11,170430,1345,0.008216059010797356,0.01541927037493399,0.19025268886739544,13.776638011673127,0.08217871270644854,0.0,0.2714492671546462,frac(samples>0)
sb,zinb_20260724_000250_sample,12,170430,1355,0.008124205407197702,0.015409460628997243,0.19147954820386157,13.779670209060956,0.0825811401277926,0.0,0.2212033901138451,frac(samples>0)
sb,zinb_20260724_000250_sample,13,170430,1383,0.008617722998350008,0.015782139294725106,0.20423368436101247,14.916779657382726,0.0838680400095065,0.0,0.645998597608318,frac(samples>0)
sb,zinb_20260724_000250_sample,14,170430,1409,0.008657486352796777,0.015897014170040486,0.2155567926082408,15.304271645183002,0.08977361047538253,0.0,0.2535213454292764,frac(samples>0)
sb,zinb_20260724_000250_sample,15,170430,1423,0.00846770300541878,0.016275193627882416,0.22259202904705044,15.851150738663097,0.09100316560480466,0.0,0.20676733258494448,frac(samples>0)
sb,zinb_20260724_000250_sample,16,170430,1467,0.008792604050532652,0.016420872939036553,0.22494141768469803,15.440982868878429,0.09283005123819078,0.0,0.2666718044833672,frac(samples>0)
sb,zinb_20260724_000250_sample,17,170430,1512,0.008967797545948038,0.016790984568444522,0.22678748302951648,15.455801503018293,0.09047122781560778,0.0,0.1820782072652444,frac(samples>0)
sb,zinb_20260724_000250_sample,18,170430,1527,0.009112506272172086,0.01690668456257701,0.22063374637456656,14.705110103770183,0.08968405692119329,0.0,0.14768167538908944,frac(samples>0)
sb,zinb_20260724_000250_sample,19,170430,1522,0.008902894317889272,0.01697196062899724,0.21620780918263027,14.0795519867185,0.09128767610302722,0.0,0.1559358096904304,frac(samples>0)
sb,zinb_20260724_000250_sample,20,170430,1518,0.009041643207372349,0.01688679003109781,0.22347261176826508,14.55857831112579,0.09464404747665332,0.0,0.1815167898028233,frac(samples>0)
sb,zinb_20260724_000250_sample,21,170430,1546,0.009128630719014515,0.017073816962976003,0.21196266578363188,13.572252992232166,0.0896597309603838,0.0,0.17170707395762497,frac(samples>0)
sb,zinb_20260724_000250_sample,22,170430,1537,0.009199555292720107,0.016966734876488882,0.21585255012043814,13.580300501209036,0.0942302419085929,0.0,0.27661424609501395,frac(samples>0)
sb,zinb_20260724_000250_sample,23,170430,1563,0.009439068144834318,0.016889540427154844,0.2194233890297823,14.254498560794332,0.08951747198578916,0.0,0.25532684575175024,frac(samples>0)
