target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,hold_last_real,1,170430,1343,0.47737082595880015,0.005569017101699109,0.12456296207071249,15.266608101869874,0.004294895201288622,0.04375,0.9236092200173017,0.44206897350254787,0.027568647637963295,0.0031372851023880773,0.007880068063134425,0.3981291883842144,0.4758004467609829,4.548650614578616,8.923806730710284,704,gate-head
sb,hold_last_real,6,170430,1336,0.3571374189185763,0.006723643767973701,0.11110807042904446,13.147949213284754,0.008104890145561728,0.0,1.0770649783973985,0.6415956800725154,0.04275469481945038,0.0035131725635158127,0.007838995482016078,0.4481661676646706,0.375,6.95089824745755,10.511352350790343,835,gate-head
sb,hold_last_real,12,170430,1379,0.31862322722034614,0.007424877843519344,0.10808300149355388,12.148270374161283,0.009867561260081136,0.0,1.1984492092973391,0.7887958095300417,0.05260505527257919,0.003627589039488353,0.008091298480314498,0.44833212472806383,0.3567802755620014,7.846674238143671,11.882113883408104,887,gate-head
sb,hold_last_real,18,170430,1547,0.2805344183237452,0.008606066034084902,0.13086762631678464,13.259514382606314,0.010606756176036911,0.0,1.0867430505165747,0.6436326322500683,0.05102238059043884,0.003678196326937746,0.009077040427154844,0.4052197802197802,0.34065934065934067,7.575367724661733,11.411171808640916,1020,gate-head
sb,hold_last_real,24,170430,1590,0.2547874181583361,0.009099304874744632,0.13495113940625678,13.157932886292677,0.012311119401818187,0.0,1.0961897943555343,0.691198021650451,0.05702143907546997,0.003703133251188171,0.009329343425453265,0.39693396226415095,0.3289308176100629,8.019915718225642,11.28692663570663,1067,gate-head
sb,hold_last_real,30,170430,1655,0.2261963938407312,0.009684860419752027,0.17334937290413374,16.61242683424623,0.012148524446002095,0.0,0.889554582541256,0.500936757867472,0.05558806285262108,0.003682596960628997,0.009710731678695066,0.3792296072507553,0.316012084592145,7.54058092071711,9.35026291799135,1132,gate-head
sb,hold_last_real,36,170430,1779,0.21301109710563473,0.010421983818304906,0.8806654493444733,83.17709871073593,0.012568878485033387,0.0,0.9038029469006124,0.09990122294981103,0.05763937160372734,0.0037027665317139,0.010438303115648653,0.35472878021360316,0.3046655424395728,7.086550167084897,9.377767641880855,1237,gate-head
