target,h,model,ref,crps_all_model,crps_all_ref,gap,zero_part,event_part,zero_share,AP_model,AP_ref,delta_AP,size_ratio_model,mcr_all_model,N,n_event,p_event,residual
ns,1,ZINB_42,light_strider,0.08659502820644113,0.08789937612995438,-0.0013043479235132494,0.0016167802804688551,-0.002921128203982113,-1.2395314557745238,0.3916408084980823,0.2231038229256242,0.1685369855724581,0.07291666666666667,1.0763025083331517,170430,595,0.003491169395059555,-8.673617379884035e-18
ns,1,ZINB_43,light_strider,0.08518187450910059,0.08789937612995438,-0.002717501620853796,-0.0014391847749586114,-0.001278316845895189,0.5295984973530364,0.37773690159172374,0.2231038229256242,0.15463307866609954,0.012195121951219513,0.912619690613671,170430,595,0.003491169395059555,-4.336808689942018e-18
ns,1,ZINB_44,light_strider,0.08451096146751484,0.08789937612995438,-0.00338841466243954,-0.0009651081081022304,-0.002423306554337313,0.28482585641020286,0.3852572068781181,0.2231038229256242,0.1621533839524939,0.0625,0.9188733224822512,170430,595,0.003491169395059555,-3.469446951953614e-18
ns,1,coord_enc_42,light_strider,0.08328089234376816,0.08789937612995438,-0.00461848378618622,-0.006430053584640913,0.0018115697984547024,1.3922434033162694,0.36630480525430603,0.2231038229256242,0.14320098232868184,0.0,0.422973855507223,170430,595,0.003491169395059555,9.540979117872439e-18
ns,1,coord_enc_43,light_strider,0.08322084216437156,0.08789937612995438,-0.004678533965582821,-0.005720634663433058,0.0010421006978502364,1.2227408640220099,0.33569351937351494,0.2231038229256242,0.11258969644789074,0.0,0.4901461510665037,170430,595,0.003491169395059555,-8.673617379884035e-19
ns,1,coord_enc_44,light_strider,0.08113934245472684,0.08789937612995438,-0.006760033675227539,-0.00721776696107921,0.0004577332858516676,1.0677116872256207,0.3433370945633168,0.2231038229256242,0.1202332716376926,0.0,0.4120122350266724,170430,595,0.003491169395059555,-2.6020852139652106e-18
ns,1,coord_top_42,light_strider,0.08491352781078972,0.08789937612995438,-0.002985848319164666,-0.0040464683709248534,0.0010606200517601877,1.3552156500893222,0.3635628010574818,0.2231038229256242,0.1404589781318576,0.0,0.6677565925976654,170430,595,0.003491169395059555,4.336808689942018e-19
ns,1,coord_top_43,light_strider,0.0866116221478527,0.08789937612995438,-0.0012877539821016804,-0.003387015259138947,0.0020992612770372628,2.6301726154332403,0.3570578524394413,0.2231038229256242,0.13395402951381713,0.0,0.7086906602644516,170430,595,0.003491169395059555,-3.903127820947816e-18
ns,1,coord_top_44,light_strider,0.08242386916571119,0.08789937612995438,-0.00547550696424319,-0.006758359100122949,0.0012828521358797546,1.2342891981066215,0.3362830318740052,0.2231038229256242,0.11317920894838102,0.0,0.3867388373771187,170430,595,0.003491169395059555,-4.336808689942018e-18
ns,1,gated_NB_42,light_strider,0.08017257822655963,0.08789937612995438,-0.007726797903394755,-0.005748963747498142,-0.0019778341558966154,0.7440292627522126,0.3985248613841362,0.2231038229256242,0.17542103845851198,0.015587529976019185,0.44378928639678406,170430,595,0.003491169395059555,-1.734723475976807e-18
ns,1,gated_NB_43,light_strider,0.08116226239799963,0.08789937612995438,-0.00673711373195475,-0.006530992979997901,-0.00020612075195684828,0.9694051844517335,0.38664918010597593,0.2231038229256242,0.16354535718035174,0.0,0.4249660441441075,170430,595,0.003491169395059555,8.673617379884035e-19
ns,1,gated_NB_44,light_strider,0.08055442492351637,0.08789937612995438,-0.007344951206438008,-0.007497023772189282,0.00015207256575127323,1.0207043670512037,0.375367944153071,0.2231038229256242,0.1522641212274468,0.0,0.34529551467498826,170430,595,0.003491169395059555,-8.673617379884035e-19
ns,1,th_gated_NB_42,light_strider,0.07958491026353215,0.08789937612995438,-0.008314465866422233,-0.005678370256045332,-0.0026360956103769055,0.6829506966860363,0.3985248613841362,0.2231038229256242,0.17542103845851198,0.012254901960784314,0.4131289387974843,170430,595,0.003491169395059555,-5.204170427930421e-18
ns,1,th_gated_NB_43,light_strider,0.08045229348326445,0.08789937612995438,-0.0074470826466899315,-0.006927508440887062,-0.0005195742058028597,0.9302311750180711,0.38664918010597593,0.2231038229256242,0.16354535718035174,0.0,0.38131613112621865,170430,595,0.003491169395059555,9.540979117872439e-18
ns,1,th_gated_NB_44,light_strider,0.07990982377942002,0.08789937612995438,-0.007989552350534362,-0.007600438682469433,-0.0003891136680649275,0.9512971877530905,0.375367944153071,0.2231038229256242,0.1522641212274468,0.0,0.3307247085146938,170430,595,0.003491169395059555,1.734723475976807e-18
ns,1,zinbcore_soft_42,light_strider,0.09079625820314276,0.08789937612995438,0.0028968820731883754,0.007427267123015701,-0.0045303850498273155,2.563883145868302,0.3916408084980823,0.2231038229256242,0.1685369855724581,0.2500000170298985,1.4038379408265775,170430,595,0.003491169395059555,1.0408340855860843e-17
ns,1,zinbcore_soft_43,light_strider,0.08557628143360405,0.08789937612995438,-0.0023230946963503363,0.0005400003024804747,-0.0028630949988308154,-0.23244868292662982,0.37773690159172374,0.2231038229256242,0.15463307866609954,0.08275861411259092,1.005780101461435,170430,595,0.003491169395059555,-4.336808689942018e-18
ns,1,zinbcore_soft_44,light_strider,0.0855072464703209,0.08789937612995438,-0.0023921296596334796,0.0005953749919265724,-0.0029875046515600518,-0.24888909743203275,0.3852572068781181,0.2231038229256242,0.1621533839524939,0.06818181276321411,0.9686607047659864,170430,595,0.003491169395059555,0.0
ns,1,zinbcore_th_42,light_strider,0.08728491918689935,0.08789937612995438,-0.0006144569430550362,0.003500801664039659,-0.004115258607094692,-5.697391336541699,0.3916408084980823,0.2231038229256242,0.1685369855724581,0.0798611111111111,0.8082118357562078,170430,595,0.003491169395059555,3.0357660829594124e-18
ns,1,zinbcore_th_43,light_strider,0.08197097055990392,0.08789937612995438,-0.005928405570050463,-0.0029011119280574625,-0.0030272936419930008,0.4893578709785822,0.37773690159172374,0.2231038229256242,0.15463307866609954,0.0,0.5608383549926851,170430,595,0.003491169395059555,0.0
ns,1,zinbcore_th_44,light_strider,0.08309294866806834,0.08789937612995438,-0.004806427461886045,-0.0018862158367837088,-0.002920211625102337,0.3924361392616454,0.3852572068781181,0.2231038229256242,0.1621533839524939,0.023529411764705882,0.6402587264817764,170430,595,0.003491169395059555,0.0
