AP,Brier,N,act_pred,act_ratio,act_true,ci_excludes_zero,ci_hi,ci_lo,crps_all,crps_events,crps_none,crpss_vs_clim,delta_AP,event_part,gate_source,h,mag_on_false_pos,mag_on_true_pos,mcr_all,mcr_none,model,n_event,n_false_pos,n_origins,pos_mcr,precision_at_k,size_ratio,target,verdict,zero_part,zero_share_of_gap
0.47446137531603655,0.005458671752969421,170430,0.0016726075221498563,0.2122580044676098,0.007880068063134425,True,-0.042241903405641684,-0.07474550975388548,0.1299383132638776,16.279722991927194,0.001666117155100241,0.3122125072347163,0.13997415272854324,-0.01781856256260579,gate-head,1,2.4770246482651,5.167555311703569,0.2545377380732257,0.015949629247188568,violet_visitor,1343,710,13,0.5843472941936481,0.47133283693224126,0.0,sb,REAL,-0.04116530526967782,0.6979078650238472
0.3923513380646906,0.006533317259519671,170430,0.00024240157249310568,0.030922529940119757,0.007838995482016078,True,-0.06154428952837013,-0.07756666905362523,0.11552839232138179,14.721580274188389,0.00012698651056459602,0.3756612081440641,0.09129337896088396,-0.017375316259864392,gate-head,6,0.29400262178311604,0.8139279246958782,0.038267160458807535,0.0017331336857751012,violet_visitor,1336,767,13,0.06704288925033261,0.4258982035928144,0.0,sb,REAL,-0.05213748031870543,0.7500414727204195
0.32258669303642906,0.007593386184148508,170430,4.2906178489702516e-05,0.005302755620014503,0.008091298480314498,True,-0.05267803256398727,-0.0711509622498002,0.11171423476511783,13.803492113448101,2.627258385990178e-05,0.35657826594856945,0.03813095886026008,-0.010575805731781773,gate-head,12,0.06352339770361694,0.07800572553208766,0.005921949546761307,0.000401875760871917,violet_visitor,1379,855,13,0.010185258009370906,0.3799854967367658,0.0,sb,REAL,-0.051335171168996954,0.8291772111958267
0.2569123524853163,0.008845400860384722,170430,9.167986856774042e-06,0.0010100193923723334,0.009077040427154844,True,-0.04928179080208051,-0.06851115961840268,0.13454994810259321,14.822665844452173,4.047735754638304e-06,0.30503251589810343,-0.0019976405337443492,-0.001880245241125317,gate-head,18,0.010164962936068113,0.03715499140907498,0.0012392688012525868,6.47637716610916e-05,violet_visitor,1547,1076,13,0.002296831195997019,0.3044602456367162,0.0,sb,ARTIFACT,-0.057175912237568495,0.9681617409360965
0.20603893115179714,0.009208830392171987,170430,2.20031684562577e-06,0.0002358490566037736,0.009329343425453265,True,-0.06476843441495166,-0.08162362124953723,0.13307142686864942,14.263735750769763,1.3881485429992893e-07,0.35619900937190163,-0.039714497245586816,-0.00949753587448558,gate-head,24,0.0003315649867374005,0.03363289669448254,0.0006971694472147468,2.2210376755538164e-06,violet_visitor,1590,1131,13,0.0015063454221022562,0.28867924528301886,0.0,sb,ARTIFACT,-0.06412756119172827,0.8710013806033546
0.16993993353430153,0.00963674013931055,170430,2.20031684562577e-06,0.00022658610271903323,0.009710731678695066,True,-0.08201828131113073,-0.08705094570331509,0.16870544358243345,17.372885196235064,2.0367352101842025e-06,0.3341177208470071,-0.06495747602736943,-0.017616896990771697,gate-head,30,0.0028112445969179453,0.00487804907124217,0.00026081513891632963,3.258776632719673e-05,violet_visitor,1655,1245,13,6.003353022313261e-05,0.24773413897280966,0.0,sb,ARTIFACT,-0.06703391903026111,0.7918874522556936
0.13700560185723565,0.010386706860820102,170430,7.334389485419234e-07,7.026419336706015e-05,0.010438303115648653,True,-0.08455531883049491,-0.0900691340698894,0.8746760033444816,83.79482855536818,1.8529389093453345e-07,0.09092501819274212,-0.057901899555074715,-0.02007359372249606,gate-head,36,0.0,0.0,3.3541063194339256e-06,2.9647021619894076e-06,violet_visitor,1779,1395,13,0.0,0.21585160202360876,0.0,sb,ARTIFACT,-0.06741086367478584,0.770546742590647
0.4173340472917662,0.010853012225809365,170430,0.007853664260986916,0.9966492926284438,0.007880068063134425,True,-0.01301765896023113,-0.0479241193016624,0.15813392996638295,16.782201123416247,0.026094670645422945,0.16296790006943151,0.0828468247042729,-0.013859000686235447,gate-head,1,14.023793443478144,13.674623335126656,2.6583704400421073,0.3111264407634735,bright_starship,1343,746,13,2.013862946504143,0.4445271779597915,0.10795453461733731,sb,REAL,-0.01692925044354278,0.5498607365576831
0.17608915295177002,0.016355775837274305,170430,0.021088936806900195,2.690260104790419,0.007838995482016078,True,0.019093887998812058,0.0020580467750909446,0.19568279518830595,14.3517233137889,0.08383689803731068,-0.0575093921067924,-0.1249688061520366,-0.02027462330142818,gate-head,6,11.072048727334256,12.753239329268293,9.650087406018931,1.0616953372955322,bright_starship,1336,1008,13,3.2542393408488945,0.24550898203592814,0.11267361111111111,sb,ARTIFACT,0.03091622958978253,2.905222083212727
0.04039873534845727,0.032496792870000776,170430,0.0388891333685384,4.8062907904278465,0.008091298480314498,True,0.14422955609654045,0.1200168244650955,0.30575674049039747,13.352148854327027,0.1993333846688956,-0.7610157969382862,-0.2440569988277117,-0.014227758758408315,gate-head,12,10.128783552339241,6.97313093916278,23.990453147693156,2.651592493057251,bright_starship,1379,1272,13,2.526379248116643,0.0775924583031182,0.0625,sb,ARTIFACT,0.14635928758290925,1.1076787568038047
