corr_ls1.0_clustering,corr_ls1.0_n_active,corr_ls2.0_clustering,corr_ls2.0_n_active,corr_ls3.0_clustering,corr_ls3.0_n_active,corr_ls5.0_clustering,corr_ls5.0_n_active,corr_ls8.0_clustering,corr_ls8.0_n_active,gate_mass,gate_mean,gate_moran_i,indep_n_active,indep_clustering,topk_n_active,topk_clustering,origin,sample_idx,step,target_idx
0.5462184873949579,119,0.9043478260869565,115,1.0943396226415094,106,0.5636363636363636,55,1.5767195767195767,378,121.20262908935547,0.0037408219650387764,0.4145906146580295,117,0.09401709401709402,121,0.7851239669421488,335,0,1,0
0.5393258426966292,89,1.1801801801801801,111,1.1923076923076923,52,1.2894736842105263,76,0.8648648648648649,37,96.26898193359375,0.0029712647665292025,0.13814380484810448,96,0.0,96,0.34375,335,0,1,1
0.48,50,1.1521739130434783,46,0.4166666666666667,12,0.16666666666666666,6,0.0,1,45.35816192626953,0.0013999432558193803,0.11430041031460543,51,0.0196078431372549,45,0.3111111111111111,335,0,1,2
0.45918367346938777,98,0.9401709401709402,117,1.2303030303030302,165,0.4375,16,0.8157894736842105,76,104.80589294433594,0.0032347498927265406,0.36595481671717833,102,0.0392156862745098,105,0.5142857142857142,335,0,2,0
0.41379310344827586,87,1.1058823529411765,85,1.1666666666666667,102,1.458128078817734,203,1.5841584158415842,101,95.01895904541016,0.0029326840303838253,0.06811921412028636,95,0.010526315789473684,95,0.2736842105263158,335,0,2,1
0.3488372093023256,43,1.0,47,0.0,4,0.18181818181818182,11,0.0,1,44.99112319946289,0.0013886148808524013,0.0806147010829595,39,0.0,45,0.24444444444444444,335,0,2,2
0.52,125,1.0510204081632653,98,1.0,98,0.9801980198019802,101,0.8,60,108.44982147216797,0.0033472166396677494,0.37386651017272604,129,0.12403100775193798,108,0.6296296296296297,335,0,3,0
0.4262295081967213,61,1.0235294117647058,85,1.2363636363636363,55,1.0483870967741935,124,1.4031007751937985,129,100.71206665039062,0.003108397126197815,0.19624387204299393,102,0.049019607843137254,101,0.39603960396039606,335,0,3,1
0.5,52,0.6842105263157895,19,1.1592920353982301,113,1.5921052631578947,76,0.0,0,44.88847732543945,0.0013854468706995249,0.10379686236221577,42,0.0,45,0.4,335,0,3,2
0.5211267605633803,71,0.9857142857142858,70,0.8837209302325582,43,1.509727626459144,257,1.3622047244094488,127,93.05099487304688,0.002871944336220622,0.3497206661765545,94,0.05319148936170213,93,0.41935483870967744,335,0,4,0
