gate_mass,gate_mean,gate_moran_i,indep_n_active,indep_clustering,topk_n_active,topk_clustering,origin,sample_idx,step,target_idx
143.0247802734375,0.004414345137774944,0.3524261070446953,135,0.13333333333333333,143,0.7832167832167832,335,0,1,0
94.27348327636719,0.0029096754733473063,0.12035564683146148,98,0.0,94,0.06382978723404255,335,0,1,1
49.25660705566406,0.0015202655922621489,0.044849064509545976,43,0.046511627906976744,49,0.24489795918367346,335,0,1,2
125.44203186035156,0.0038716676644980907,0.3243596092504366,110,0.07272727272727272,125,0.632,335,0,2,0
92.203369140625,0.002845783019438386,0.13436429204043457,96,0.0,92,0.021739130434782608,335,0,2,1
47.023284912109375,0.001451335963793099,0.030162765132472787,38,0.0,47,0.14893617021276595,335,0,2,2
103.95066833496094,0.0032083538826555014,0.22538302804559882,106,0.03773584905660377,104,0.3942307692307692,335,0,3,0
93.30437469482422,0.0028797646518796682,0.08700783847714087,109,0.009174311926605505,93,0.0,335,0,3,1
47.459144592285156,0.0014647884527221322,0.017779314009592245,38,0.0,47,0.14893617021276595,335,0,3,2
99.06623840332031,0.003057599999010563,0.15409168817738597,110,0.03636363636363636,99,0.4444444444444444,335,0,4,0
92.83363342285156,0.0028652355540543795,0.12170785527991364,100,0.0,93,0.043010752688172046,335,0,4,1
44.996917724609375,0.0013887938112020493,0.1073539013906726,44,0.0,45,0.044444444444444446,335,0,4,2
95.81103515625,0.0029571307823061943,0.31389971515102105,81,0.06172839506172839,96,0.5416666666666666,335,0,5,0
93.78504180908203,0.0028946001548320055,0.11942662699667624,98,0.0,94,0.031914893617021274,335,0,5,1
45.06134796142578,0.0013907823013141751,0.052232677366291426,41,0.0,45,0.2,335,0,5,2
84.54680633544922,0.0026094692293554544,0.19469838384289387,91,0.0,85,0.35294117647058826,335,0,6,0
94.55540466308594,0.002918376587331295,0.08231435712470718,99,0.0,95,0.031578947368421054,335,0,6,1
44.20071029663086,0.001364219468086958,0.12515030051733886,49,0.0,44,0.045454545454545456,335,0,6,2
85.4491958618164,0.0026373208966106176,0.12155988772392864,66,0.015151515151515152,85,0.25882352941176473,335,0,7,0
94.4908447265625,0.002916384022682905,0.11356976033129038,73,0.0136986301369863,94,0.031914893617021274,335,0,7,1
44.04905319213867,0.0013595386408269405,0.12499989125176827,43,0.0,44,0.045454545454545456,335,0,7,2
89.4375,0.0027604165952652693,0.3177886435893911,102,0.0196078431372549,89,0.449438202247191,335,0,8,0
95.61399841308594,0.0029510492458939552,0.03583969955127834,92,0.0,96,0.020833333333333332,335,0,8,1
44.38058090209961,0.001369770965538919,0.16155834665508848,54,0.018518518518518517,44,0.06818181818181818,335,0,8,2
86.87097930908203,0.0026812029536813498,0.11296913401511431,97,0.0,87,0.22988505747126436,335,0,9,0
94.99080657958984,0.002931815106421709,0.05703986889327311,104,0.009615384615384616,95,0.042105263157894736,335,0,9,1
44.32689666748047,0.001368114142678678,0.20091757006808167,55,0.0,44,0.13636363636363635,335,0,9,2
83.89183044433594,0.002589253941550851,0.11410741746563377,87,0.011494252873563218,84,0.14285714285714285,335,0,10,0
95.22938537597656,0.0029391786083579063,0.044781078944381804,99,0.0,95,0.031578947368421054,335,0,10,1
44.31865692138672,0.0013678597752004862,0.16877136645661417,51,0.0,44,0.06818181818181818,335,0,10,2
88.70996856689453,0.002737961942330003,0.1316145047987232,103,0.0,89,0.30337078651685395,335,0,11,0
95.69454956054688,0.0029535354115068913,0.03886996782088107,112,0.008928571428571428,96,0.07291666666666667,335,0,11,1
44.57233810424805,0.0013756894040852785,0.1758885652722014,50,0.0,45,0.13333333333333333,335,0,11,2
86.19686889648438,0.00266039720736444,0.17570499105812182,69,0.0,86,0.32558139534883723,335,0,12,0
95.93479919433594,0.0029609506018459797,0.07757361161809624,103,0.0,96,0.020833333333333332,335,0,12,1
44.18796920776367,0.0013638262171298265,0.19944160559601046,47,0.0,44,0.045454545454545456,335,0,12,2
91.4294662475586,0.002821897156536579,0.23490192115560699,91,0.04395604395604396,91,0.37362637362637363,335,0,13,0
95.66201782226562,0.0029525314457714558,0.050999923345476574,87,0.0,96,0.020833333333333332,335,0,13,1
44.635955810546875,0.0013776529813185334,0.14291608658314084,38,0.0,45,0.044444444444444446,335,0,13,2
87.30332946777344,0.002694547176361084,0.11872663157533832,95,0.0,87,0.28735632183908044,335,0,14,0
95.51358032226562,0.0029479500371962786,0.08964432756426761,92,0.0,96,0.052083333333333336,335,0,14,1
44.46589279174805,0.0013724040472880006,0.10623432631896314,47,0.0,44,0.11363636363636363,335,0,14,2
87.94233703613281,0.0027142695616930723,0.12627250541177984,89,0.0,88,0.19318181818181818,335,0,15,0
95.45027160644531,0.0029459961224347353,0.08141008992405996,107,0.009345794392523364,95,0.07368421052631578,335,0,15,1
45.09505081176758,0.0013918225886300206,0.11426124253154853,54,0.0,45,0.1111111111111111,335,0,15,2
87.41796875,0.002698085503652692,0.153753274870453,85,0.047058823529411764,87,0.3103448275862069,335,0,16,0
