target,h,N,n_event,AP_persistence_value_ranked,AP_persistence_binary,AP_arm
sb,1,170430,1343,0.2364318588779597,0.16319513535279323,0.47737082595880015
sb,6,170430,1336,0.167511894904377,0.12397851415243405,0.4070528458943393
sb,12,170430,1379,0.16665636416980678,0.13211423462140742,0.3596368576545512
sb,18,170430,1547,0.14155416204643248,0.11522458516939606,0.33182533398580893
sb,24,170430,1590,0.12339533987656741,0.1022730378247843,0.3026755081292046
sb,30,170430,1655,0.10823811292582704,0.0922351865668768,0.2748393483031743
sb,36,170430,1779,0.09508779122042785,0.08703231755827318,0.22869873867238955
