h,n_seeds,arm_mean,arm_sd,arm_min,arm_max,persistence,ratio_mean,ratio_worst,worst_beats_persistence,worst_margin_over_mde
1,4,0.47669388617066966,0.0035492037933781686,0.47162692740542156,0.47989440318918153,0.2364318588779597,2.0161998828454304,1.9947689353018359,True,4.3474134663116795
6,4,0.3960680801637856,0.01226598369848603,0.3785898620371263,0.4070528458943393,0.167511894904377,2.3644176456237824,2.260077484367553,True,3.9016260098474915
12,4,0.35650792128992437,0.0189118700380447,0.3311723870975054,0.3769581570249376,0.16665636416980678,2.139179761096175,1.987157158667356,True,3.0409616067966474
18,4,0.3256501252649123,0.013437542009880435,0.30576567170457364,0.3351699130292337,0.14155416204643248,2.3005337360415643,2.1600613311834422,True,3.0353328957142542
24,4,0.2993054119683645,0.009222014490891595,0.2880632105502771,0.30981440124516524,0.12339533987656741,2.425581162690263,2.3344739828783427,True,3.043768404319957
30,4,0.2656560904856422,0.009884510332210652,0.2528475817655217,0.2748393483031743,0.10823811292582704,2.4543673508765798,2.3360309500110374,True,2.6730031208816016
36,4,0.22498925335478445,0.012184738936967735,0.2108388823451274,0.23961459547822045,0.09508779122042785,2.366121354456803,2.2173076021544245,True,2.13957654574306
